Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
153	-117	18	2687	153	-117	18	2687	153	-117	18	2687	153	-117	18	2687	153	-117	18	2687	153	-117	18	2687	153	-117	18	2687	153	-117	18	2687	153	-117	18	2687
154	-17	17	2704	154	-17	17	2704	154	-17	17	2704	154	-17	17	2704	154	-17	17	2704	154	-17	17	2704	154	-17	17	2704	154	-17	17	2704	154	-17	17	2704
155	-19	19	2723	155	-19	19	2723	155	-19	19	2723	155	-19	19	2723	155	-19	19	2723	155	-19	19	2723	155	-19	19	2723	155	-19	19	2723	155	-19	19	2723
156	-25	25	2748	156	-25	25	2748	156	-25	25	2748	156	-25	25	2748	156	-25	25	2748	156	-25	25	2748	156	-25	25	2748	156	-25	25	2748	156	-25	25	2748
157	-18	18	2766	157	-18	18	2766	157	-18	18	2766	157	-18	18	2766	157	-18	18	2766	157	-18	18	2766	157	-18	18	2766	157	-18	18	2766	157	-18	18	2766
158	-17	17	2783	158	-17	17	2783	158	-17	17	2783	158	-17	17	2783	158	-17	17	2783	158	-17	17	2783	158	-17	17	2783	158	-17	17	2783	158	-17	17	2783
159	-17	17	2800	159	-17	17	2800	159	-17	17	2800	159	-17	17	2800	159	-17	17	2800	159	-17	17	2800	159	-17	17	2800	159	-17	17	2800	159	-17	17	2800
160	-15	15	2815	160	-15	15	2815	160	-15	15	2815	160	-15	15	2815	160	-15	15	2815	160	-15	15	2815	160	-15	15	2815	160	-15	15	2815	160	-15	15	2815
161	-17	17	2832	161	-17	17	2832	161	-17	17	2832	161	-17	17	2832	161	-17	17	2832	161	-17	17	2832	161	-17	17	2832	161	-17	17	2832	161	-17	17	2832
162	-15	15	2847	162	-15	15	2847	162	-15	15	2847	162	-15	15	2847	162	-15	15	2847	162	-15	15	2847	162	-15	15	2847	162	-15	15	2847	162	-15	15	2847
163	-118	19	2866	163	-118	19	2866	163	-118	19	2866	163	-118	19	2866	163	-118	19	2866	163	-118	19	2866	163	-118	19	2866	163	-118	19	2866	163	-118	19	2866
164	-19	19	2885	164	-19	19	2885	164	-19	19	2885	164	-19	19	2885	164	-19	19	2885	164	-19	19	2885	164	-19	19	2885	164	-19	19	2885	164	-19	19	2885
165	-15	15	2900	165	-15	15	2900	165	-15	15	2900	165	-15	15	2900	165	-15	15	2900	165	-15	15	2900	165	-15	15	2900	165	-15	15	2900	165	-15	15	2900
166	-15	15	2915	166	-15	15	2915	166	-15	15	2915	166	-15	15	2915	166	-15	15	2915	166	-15	15	2915	166	-15	15	2915	166	-15	15	2915	166	-15	15	2915
167	-19	19	2934	167	-19	19	2934	167	-19	19	2934	167	-19	19	2934	167	-19	19	2934	167	-19	19	2934	167	-19	19	2934	167	-19	19	2934	167	-19	19	2934
168	-17	17	2951	168	-17	17	2951	168	-17	17	2951	168	-17	17	2951	168	-17	17	2951	168	-17	17	2951	168	-17	17	2951	168	-17	17	2951	168	-17	17	2951
169	-16	16	2967	169	-16	16	2967	169	-16	16	2967	169	-16	16	2967	169	-16	16	2967	169	-16	16	2967	169	-16	16	2967	169	-16	16	2967	169	-16	16	2967
170	-17	17	2984	170	-17	17	2984	170	-17	17	2984	170	-17	17	2984	170	-17	17	2984	170	-17	17	2984	170	-17	17	2984	170	-17	17	2984	170	-17	17	2984
171	-18	18	3002	171	-18	18	3002	171	-18	18	3002	171	-18	18	3002	171	-18	18	3002	171	-18	18	3002	171	-18	18	3002	171	-18	18	3002	171	-18	18	3002
172	-17	17	3019	172	-17	17	3019	172	-17	17	3019	172	-17	17	3019	172	-17	17	3019	172	-17	17	3019	172	-17	17	3019	172	-17	17	3019	172	-17	17	3019
173	-19	19	3038	173	-19	19	3038	173	-19	19	3038	173	-19	19	3038	173	-19	19	3038	173	-19	19	3038	173	-19	19	3038	173	-19	19	3038	173	-19	19	3038
174	-15	15	3053	174	-15	15	3053	174	-15	15	3053	174	-15	15	3053	174	-15	15	3053	174	-15	15	3053	174	-15	15	3053	174	-15	15	3053	174	-15	15	3053
175	-23	23	3076	175	-23	23	3076	175	-23	23	3076	175	-23	23	3076	175	-23	23	3076	175	-23	23	3076	175	-23	23	3076	175	-23	23	3076	175	-23	23	3076
176	-15	15	3091	176	-15	15	3091	176	-15	15	3091	176	-15	15	3091	176	-15	15	3091	176	-15	15	3091	176	-15	15	3091	176	-15	15	3091	176	-15	15	3091
177	-15	15	3106	177	-15	15	3106	177	-15	15	3106	177	-15	15	3106	177	-15	15	3106	177	-15	15	3106	177	-15	15	3106	177	-15	15	3106	177	-15	15	3106
178	-15	15	3121	178	-15	15	3121	178	-15	15	3121	178	-15	15	3121	178	-15	15	3121	178	-15	15	3121	178	-15	15	3121	178	-15	15	3121	178	-15	15	3121
179	-15	15	3136	179	-15	15	3136	179	-15	15	3136	179	-15	15	3136	179	-15	15	3136	179	-15	15	3136	179	-15	15	3136	179	-15	15	3136	179	-15	15	3136
180	-17	17	3153	180	-17	17	3153	180	-17	17	3153	180	-17	17	3153	180	-17	17	3153	180	-17	17	3153	180	-17	17	3153	180	-17	17	3153	180	-17	17	3153
181	-16	16	3169	181	-16	16	3169	181	-16	16	3169	181	-16	16	3169	181	-16	16	3169	181	-16	16	3169	181	-16	16	3169	181	-16	16	3169	181	-16	16	3169
182	-15	15	3184	182	-15	15	3184	182	-15	15	3184	182	-15	15	3184	182	-15	15	3184	182	-15	15	3184	182	-15	15	3184	182	-15	15	3184	182	-15	15	3184
183	-17	17	3201	183	-17	17	3201	183	-17	17	3201	183	-17	17	3201	183	-17	17	3201	183	-17	17	3201	183	-17	17	3201	183	-17	17	3201	183	-17	17	3201
184	-18	18	3219	184	-18	18	3219	184	-18	18	3219	184	-18	18	3219	184	-18	18	3219	184	-18	18	3219	184	-18	18	3219	184	-18	18	3219	184	-18	18	3219
185	-15	15	3234	185	-15	15	3234	185	-15	15	3234	185	-15	15	3234	185	-15	15	3234	185	-15	15	3234	185	-15	15	3234	185	-15	15	3234	185	-15	15	3234
186	-15	15	3249	186	-15	15	3249	186	-15	15	3249	186	-15	15	3249	186	-15	15	3249	186	-15	15	3249	186	-15	15	3249	186	-15	15	3249	186	-15	15	3249
187	-15	15	3264	187	-15	15	3264	187	-15	15	3264	187	-15	15	3264	187	-15	15	3264	187	-15	15	3264	187	-15	15	3264	187	-15	15	3264	187	-15	15	3264
188	-17	17	3281	188	-17	17	3281	188	-17	17	3281	188	-17	17	3281	188	-17	17	3281	188	-17	17	3281	188	-17	17	3281	188	-17	17	3281	188	-17	17	3281
189	-22	22	3303	189	-22	22	3303	189	-22	22	3303	189	-22	22	3303	189	-22	22	3303	189	-22	22	3303	189	-22	22	3303	189	-22	22	3303	189	-22	22	3303
190	-15	15	3318	190	-15	15	3318	190	-15	15	3318	190	-15	15	3318	190	-15	15	3318	190	-15	15	3318	190	-15	15	3318	190	-15	15	3318	190	-15	15	3318
191	-19	19	3337	191	-19	19	3337	191	-19	19	3337	191	-19	19	3337	191	-19	19	3337	191	-19	19	3337	191	-19	19	3337	191	-19	19	3337	191	-19	19	3337
192	-21	21	3358	192	-21	21	3358	192	-21	21	3358	192	-21	21	3358	192	-21	21	3358	192	-21	21	3358	192	-21	21	3358	192	-21	21	3358	192	-21	21	3358
193	-16	16	3374	193	-16	16	3374	193	-16	16	3374	193	-16	16	3374	193	-16	16	3374	193	-16	16	3374	193	-16	16	3374	193	-16	16	3374	193	-16	16	3374
194	-17	17	3391	194	-17	17	3391	194	-17	17	3391	194	-17	17	3391	194	-17	17	3391	194	-17	17	3391	194	-17	17	3391	194	-17	17	3391	194	-17	17	3391
195	-15	15	3406	195	-15	15	3406	195	-15	15	3406	195	-15	15	3406	195	-15	15	3406	195	-15	15	3406	195	-15	15	3406	195	-15	15	3406	195	-15	15	3406
196	-17	17	3423	196	-17	17	3423	196	-17	17	3423	196	-17	17	3423	196	-17	17	3423	196	-17	17	3423	196	-17	17	3423	196	-17	17	3423	196	-17	17	3423
197	-15	15	3438	197	-15	15	3438	197	-15	15	3438	197	-15	15	3438	197	-15	15	3438	197	-15	15	3438	197	-15	15	3438	197	-15	15	3438	197	-15	15	3438
198	-17	17	3455	198	-17	17	3455	198	-17	17	3455	198	-17	17	3455	198	-17	17	3455	198	-17	17	3455	198	-17	17	3455	198	-17	17	3455	198	-17	17	3455
199	-16	16	3471	199	-16	16	3471	199	-16	16	3471	199	-16	16	3471	199	-16	16	3471	199	-16	16	3471	199	-16	16	3471	199	-16	16	3471	199	-16	16	3471
