Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
37	-15	15	636	37	-15	15	636	37	-15	15	636	37	-15	15	636	37	-15	15	636	37	-15	15	636	37	-15	15	636	37	-15	15	636	37	-15	15	636
38	-17	17	653	38	-17	17	653	38	-17	17	653	38	-17	17	653	38	-17	17	653	38	-17	17	653	38	-17	17	653	38	-17	17	653	38	-17	17	653
39	-17	17	670	39	-17	17	670	39	-17	17	670	39	-17	17	670	39	-17	17	670	39	-17	17	670	39	-17	17	670	39	-17	17	670	39	-17	17	670
40	-21	21	691	40	-21	21	691	40	-21	21	691	40	-21	21	691	40	-21	21	691	40	-21	21	691	40	-21	21	691	40	-21	21	691	40	-21	21	691
41	-17	17	708	41	-17	17	708	41	-17	17	708	41	-17	17	708	41	-17	17	708	41	-17	17	708	41	-17	17	708	41	-17	17	708	41	-17	17	708
42	-20	20	728	42	-20	20	728	42	-20	20	728	42	-20	20	728	42	-20	20	728	42	-20	20	728	42	-20	20	728	42	-20	20	728	42	-20	20	728
43	-22	22	750	43	-22	22	750	43	-22	22	750	43	-22	22	750	43	-22	22	750	43	-22	22	750	43	-22	22	750	43	-22	22	750	43	-22	22	750
44	-17	17	767	44	-17	17	767	44	-17	17	767	44	-17	17	767	44	-17	17	767	44	-17	17	767	44	-17	17	767	44	-17	17	767	44	-17	17	767
45	-21	21	788	45	-21	21	788	45	-21	21	788	45	-21	21	788	45	-21	21	788	45	-21	21	788	45	-21	21	788	45	-21	21	788	45	-21	21	788
46	-131	32	820	46	-131	32	820	46	-131	32	820	46	-131	32	820	46	-131	32	820	46	-131	32	820	46	-131	32	820	46	-131	32	820	46	-131	32	820
47	-16	16	836	47	-16	16	836	47	-16	16	836	47	-16	16	836	47	-16	16	836	47	-16	16	836	47	-16	16	836	47	-16	16	836	47	-16	16	836
48	-17	17	853	48	-17	17	853	48	-17	17	853	48	-17	17	853	48	-17	17	853	48	-17	17	853	48	-17	17	853	48	-17	17	853	48	-17	17	853
