Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
162	-19	19	3365	162	-19	19	3365
163	-15	15	3380	163	-15	15	3380
164	-27	27	3407	164	-27	27	3407
165	-17	17	3424	165	-17	17	3424
166	-17	17	3441	166	-17	17	3441
167	-16	16	3457	167	-16	16	3457
168	-15	15	3472	168	-15	15	3472
169	-17	17	3489	169	-17	17	3489
170	-15	15	3504	170	-15	15	3504
171	-23	23	3527	171	-23	23	3527
172	-25	25	3552	172	-25	25	3552
173	-17	17	3569	173	-17	17	3569
174	-19	19	3588	174	-19	19	3588
175	-19	19	3607	175	-19	19	3607
176	-17	17	3624	176	-17	17	3624
177	-15	15	3639	177	-15	15	3639
178	-17	17	3656	178	-17	17	3656
179	-19	19	3675	179	-19	19	3675
180	-19	19	3694	180	-19	19	3694
181	-15	15	3709	181	-15	15	3709
182	-15	15	3724	182	-15	15	3724
183	-18	18	3742	183	-18	18	3742
184	-17	17	3759	184	-17	17	3759
185	-15	15	3774	185	-15	15	3774
186	-19	19	3793	186	-19	19	3793
187	-15	15	3808	187	-15	15	3808
188	-20	20	3828	188	-20	20	3828
189	-21	21	3849	189	-21	21	3849
190	-17	17	3866	190	-17	17	3866
191	-15	15	3881	191	-15	15	3881
192	-17	17	3898	192	-17	17	3898
193	-16	16	3914	193	-16	16	3914
194	-19	19	3933	194	-19	19	3933
195	-15	15	3948	195	-15	15	3948
196	-15	15	3963	196	-15	15	3963
197	-15	15	3978	197	-15	15	3978
198	-16	16	3994	198	-16	16	3994
199	-21	21	4015	199	-21	21	4015
