Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1324	334	334	0	-1324	334	334
1	-1802	812	1146	1	-1802	812	1146
2	-507	309	1455	2	-507	309	1455
3	-290	290	1745	3	-290	290	1745
4	-1064	569	2314	4	-1064	569	2314
5	-217	217	2531	5	-217	217	2531
6	-200	200	2731	6	-200	200	2731
7	-118	118	2849	7	-118	118	2849
8	-600	303	3152	8	-600	303	3152
9	-349	151	3303	9	-349	151	3303
10	-445	346	3649	10	-445	346	3649
11	-176	176	3825	11	-176	176	3825
12	-547	250	4075	12	-547	250	4075
13	-259	160	4235	13	-259	160	4235
14	-193	193	4428	14	-193	193	4428
15	-168	69	4497	15	-168	69	4497
16	-674	476	4973	16	-674	476	4973
17	-117	117	5090	17	-117	117	5090
18	-69	69	5159	18	-69	69	5159
19	-578	281	5440	19	-578	281	5440
20	-99	99	5539	20	-99	99	5539
21	-148	148	5687	21	-148	148	5687
22	-540	243	5930	22	-540	243	5930
23	-62	62	5992	23	-62	62	5992
24	-252	153	6145	24	-252	153	6145
25	-78	78	6223	25	-78	78	6223
26	-216	117	6340	26	-216	117	6340
27	-68	68	6408	27	-68	68	6408
28	-397	199	6607	28	-397	199	6607
29	-170	71	6678	29	-170	71	6678
30	-253	55	6733	30	-253	55	6733
31	-365	167	6900	31	-365	167	6900
32	-72	72	6972	32	-72	72	6972
33	-84	84	7056	33	-84	84	7056
34	-25	25	7081	34	-25	25	7081
35	-121	121	7202	35	-121	121	7202
36	-47	47	7249	36	-47	47	7249
37	-41	41	7290	37	-41	41	7290
38	-243	144	7434	38	-243	144	7434
39	-45	45	7479	39	-45	45	7479
40	-114	114	7593	40	-114	114	7593
41	-29	29	7622	41	-29	29	7622
42	-100	100	7722	42	-100	100	7722
43	-17	17	7739	43	-17	17	7739
44	-87	87	7826	44	-87	87	7826
45	-89	89	7915	45	-89	89	7915
46	-37	37	7952	46	-37	37	7952
47	-187	88	8040	47	-187	88	8040
48	-35	35	8075	48	-35	35	8075
49	-84	84	8159	49	-84	84	8159
50	-69	69	8228	50	-69	69	8228
51	-49	49	8277	51	-49	49	8277
52	-65	65	8342	52	-65	65	8342
53	-66	66	8408	53	-66	66	8408
54	-69	69	8477	54	-69	69	8477
55	-57	57	8534	55	-57	57	8534
56	-53	53	8587	56	-53	53	8587
57	-197	98	8685	57	-197	98	8685
58	-92	92	8777	58	-92	92	8777
59	-59	59	8836	59	-59	59	8836
60	-64	64	8900	60	-64	64	8900
61	-52	52	8952	61	-52	52	8952
62	-42	42	8994	62	-42	42	8994
63	-232	133	9127	63	-232	133	9127
64	-137	38	9165	64	-137	38	9165
65	-58	58	9223	65	-58	58	9223
66	-223	124	9347	66	-223	124	9347
67	-41	41	9388	67	-41	41	9388
68	-53	53	9441	68	-53	53	9441
69	-40	40	9481	69	-40	40	9481
70	-136	136	9617	70	-136	136	9617
71	-153	54	9671	71	-153	54	9671
72	-58	58	9729	72	-58	58	9729
73	-45	45	9774	73	-45	45	9774
74	-101	101	9875	74	-101	101	9875
75	-64	64	9939	75	-64	64	9939
76	-46	46	9985	76	-46	46	9985
77	-45	45	10030	77	-45	45	10030
78	-61	61	10091	78	-61	61	10091
79	-88	88	10179	79	-88	88	10179
80	-99	99	10278	80	-99	99	10278
81	-45	45	10323	81	-45	45	10323
82	-221	122	10445	82	-221	122	10445
83	-65	65	10510	83	-65	65	10510
84	-414	216	10726	84	-414	216	10726
85	-55	55	10781	85	-55	55	10781
86	-253	55	10836	86	-253	55	10836
87	-91	91	10927	87	-91	91	10927
88	-82	82	11009	88	-82	82	11009
89	-97	97	11106	89	-97	97	11106
90	-40	40	11146	90	-40	40	11146
91	-137	137	11283	91	-137	137	11283
92	-32	32	11315	92	-32	32	11315
93	-101	101	11416	93	-101	101	11416
94	-164	65	11481	94	-164	65	11481
95	-56	56	11537	95	-56	56	11537
96	-92	92	11629	96	-92	92	11629
97	-42	42	11671	97	-42	42	11671
98	-57	57	11728	98	-57	57	11728
99	-65	65	11793	99	-65	65	11793
100	-39	39	11832	100	-39	39	11832
101	-53	53	11885	101	-53	53	11885
102	-209	110	11995	102	-209	110	11995
103	-324	126	12121	103	-324	126	12121
104	-187	88	12209	104	-187	88	12209
105	-65	65	12274	105	-65	65	12274
106	-61	61	12335	106	-61	61	12335
107	-180	81	12416	107	-180	81	12416
108	-42	42	12458	108	-42	42	12458
109	-82	82	12540	109	-82	82	12540
110	-49	49	12589	110	-49	49	12589
111	-56	56	12645	111	-56	56	12645
112	-43	43	12688	112	-43	43	12688
113	-215	116	12804	113	-215	116	12804
114	-98	98	12902	114	-98	98	12902
115	-34	34	12936	115	-34	34	12936
116	-36	36	12972	116	-36	36	12972
117	-86	86	13058	117	-86	86	13058
118	-57	57	13115	118	-57	57	13115
119	-25	25	13140	119	-25	25	13140
120	-193	94	13234	120	-193	94	13234
121	-54	54	13288	121	-54	54	13288
122	-179	80	13368	122	-179	80	13368
123	-34	34	13402	123	-34	34	13402
124	-47	47	13449	124	-47	47	13449
125	-55	55	13504	125	-55	55	13504
126	-31	31	13535	126	-31	31	13535
127	-62	62	13597	127	-62	62	13597
128	-37	37	13634	128	-37	37	13634
129	-45	45	13679	129	-45	45	13679
130	-39	39	13718	130	-39	39	13718
131	-186	87	13805	131	-186	87	13805
132	-61	61	13866	132	-61	61	13866
133	-149	50	13916	133	-149	50	13916
134	-54	54	13970	134	-54	54	13970
135	-56	56	14026	135	-56	56	14026
136	-59	59	14085	136	-59	59	14085
137	-263	65	14150	137	-263	65	14150
138	-31	31	14181	138	-31	31	14181
139	-38	38	14219	139	-38	38	14219
140	-26	26	14245	140	-26	26	14245
141	-190	91	14336	141	-190	91	14336
142	-45	45	14381	142	-45	45	14381
143	-35	35	14416	143	-35	35	14416
144	-47	47	14463	144	-47	47	14463
145	-27	27	14490	145	-27	27	14490
146	-34	34	14524	146	-34	34	14524
147	-91	91	14615	147	-91	91	14615
148	-21	21	14636	148	-21	21	14636
149	-80	80	14716	149	-80	80	14716
150	-43	43	14759	150	-43	43	14759
151	-36	36	14795	151	-36	36	14795
152	-141	42	14837	152	-141	42	14837
153	-69	69	14906	153	-69	69	14906
154	-31	31	14937	154	-31	31	14937
155	-80	80	15017	155	-80	80	15017
156	-19	19	15036	156	-19	19	15036
157	-72	72	15108	157	-72	72	15108
158	-27	27	15135	158	-27	27	15135
159	-51	51	15186	159	-51	51	15186
160	-79	79	15265	160	-79	79	15265
161	-68	68	15333	161	-68	68	15333
162	-19	19	15352	162	-19	19	15352
163	-39	39	15391	163	-39	39	15391
164	-55	55	15446	164	-55	55	15446
165	-55	55	15501	165	-55	55	15501
166	-56	56	15557	166	-56	56	15557
167	-29	29	15586	167	-29	29	15586
168	-36	36	15622	168	-36	36	15622
169	-58	58	15680	169	-58	58	15680
170	-45	45	15725	170	-45	45	15725
171	-162	63	15788	171	-162	63	15788
172	-43	43	15831	172	-43	43	15831
173	-50	50	15881	173	-50	50	15881
174	-34	34	15915	174	-34	34	15915
175	-42	42	15957	175	-42	42	15957
176	-168	69	16026	176	-168	69	16026
177	-48	48	16074	177	-48	48	16074
178	-74	74	16148	178	-74	74	16148
179	-21	21	16169	179	-21	21	16169
180	-52	52	16221	180	-52	52	16221
181	-39	39	16260	181	-39	39	16260
182	-59	59	16319	182	-59	59	16319
183	-27	27	16346	183	-27	27	16346
184	-30	30	16376	184	-30	30	16376
185	-47	47	16423	185	-47	47	16423
186	-29	29	16452	186	-29	29	16452
187	-39	39	16491	187	-39	39	16491
188	-27	27	16518	188	-27	27	16518
189	-142	43	16561	189	-142	43	16561
190	-56	56	16617	190	-56	56	16617
191	-42	42	16659	191	-42	42	16659
192	-40	40	16699	192	-40	40	16699
193	-39	39	16738	193	-39	39	16738
194	-23	23	16761	194	-23	23	16761
195	-52	52	16813	195	-52	52	16813
196	-40	40	16853	196	-40	40	16853
197	-36	36	16889	197	-36	36	16889
198	-40	40	16929	198	-40	40	16929
199	-38	38	16967	199	-38	38	16967
200	-26	26	16993	200	-26	26	16993
201	-51	51	17044	201	-51	51	17044
202	-136	37	17081	202	-136	37	17081
203	-36	36	17117	203	-36	36	17117
204	-34	34	17151	204	-34	34	17151
205	-23	23	17174	205	-23	23	17174
206	-40	40	17214	206	-40	40	17214
207	-41	41	17255	207	-41	41	17255
208	-27	27	17282	208	-27	27	17282
209	-51	51	17333	209	-51	51	17333
210	-39	39	17372	210	-39	39	17372
211	-150	51	17423	211	-150	51	17423
212	-25	25	17448	212	-25	25	17448
213	-53	53	17501	213	-53	53	17501
214	-164	65	17566	214	-164	65	17566
215	-33	33	17599	215	-33	33	17599
216	-33	33	17632	216	-33	33	17632
217	-19	19	17651	217	-19	19	17651
218	-44	44	17695	218	-44	44	17695
219	-35	35	17730	219	-35	35	17730
220	-32	32	17762	220	-32	32	17762
221	-81	81	17843	221	-81	81	17843
222	-28	28	17871	222	-28	28	17871
223	-21	21	17892	223	-21	21	17892
224	-152	53	17945	224	-152	53	17945
