Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
158	-29	29	15591	158	-29	29	15591
159	-63	63	15654	159	-63	63	15654
160	-23	23	15677	160	-23	23	15677
161	-127	28	15705	161	-127	28	15705
162	-32	32	15737	162	-32	32	15737
163	-44	44	15781	163	-44	44	15781
164	-45	45	15826	164	-45	45	15826
165	-23	23	15849	165	-23	23	15849
166	-134	35	15884	166	-134	35	15884
167	-43	43	15927	167	-43	43	15927
168	-41	41	15968	168	-41	41	15968
169	-21	21	15989	169	-21	21	15989
170	-21	21	16010	170	-21	21	16010
171	-28	28	16038	171	-28	28	16038
172	-45	45	16083	172	-45	45	16083
173	-29	29	16112	173	-29	29	16112
174	-29	29	16141	174	-29	29	16141
175	-33	33	16174	175	-33	33	16174
176	-152	53	16227	176	-152	53	16227
177	-30	30	16257	177	-30	30	16257
178	-51	51	16308	178	-51	51	16308
179	-32	32	16340	179	-32	32	16340
180	-46	46	16386	180	-46	46	16386
181	-37	37	16423	181	-37	37	16423
182	-35	35	16458	182	-35	35	16458
183	-36	36	16494	183	-36	36	16494
184	-38	38	16532	184	-38	38	16532
185	-25	25	16557	185	-25	25	16557
186	-35	35	16592	186	-35	35	16592
187	-58	58	16650	187	-58	58	16650
188	-27	27	16677	188	-27	27	16677
189	-38	38	16715	189	-38	38	16715
190	-37	37	16752	190	-37	37	16752
191	-45	45	16797	191	-45	45	16797
192	-31	31	16828	192	-31	31	16828
193	-37	37	16865	193	-37	37	16865
194	-28	28	16893	194	-28	28	16893
195	-159	60	16953	195	-159	60	16953
196	-23	23	16976	196	-23	23	16976
197	-164	65	17041	197	-164	65	17041
198	-36	36	17077	198	-36	36	17077
199	-23	23	17100	199	-23	23	17100
200	-40	40	17140	200	-40	40	17140
201	-19	19	17159	201	-19	19	17159
202	-39	39	17198	202	-39	39	17198
203	-28	28	17226	203	-28	28	17226
204	-46	46	17272	204	-46	46	17272
205	-31	31	17303	205	-31	31	17303
206	-40	40	17343	206	-40	40	17343
207	-26	26	17369	207	-26	26	17369
208	-40	40	17409	208	-40	40	17409
209	-31	31	17440	209	-31	31	17440
210	-38	38	17478	210	-38	38	17478
211	-26	26	17504	211	-26	26	17504
212	-27	27	17531	212	-27	27	17531
213	-23	23	17554	213	-23	23	17554
214	-25	25	17579	214	-25	25	17579
215	-37	37	17616	215	-37	37	17616
216	-148	49	17665	216	-148	49	17665
217	-25	25	17690	217	-25	25	17690
218	-35	35	17725	218	-35	35	17725
219	-31	31	17756	219	-31	31	17756
220	-160	61	17817	220	-160	61	17817
221	-168	69	17886	221	-168	69	17886
222	-31	31	17917	222	-31	31	17917
223	-125	26	17943	223	-125	26	17943
224	-26	26	17969	224	-26	26	17969
225	-33	33	18002	225	-33	33	18002
226	-39	39	18041	226	-39	39	18041
227	-156	57	18098	227	-156	57	18098
228	-44	44	18142	228	-44	44	18142
229	-272	74	18216	229	-272	74	18216
230	-31	31	18247	230	-31	31	18247
231	-25	25	18272	231	-25	25	18272
232	-21	21	18293	232	-21	21	18293
233	-22	22	18315	233	-22	22	18315
234	-31	31	18346	234	-31	31	18346
235	-35	35	18381	235	-35	35	18381
236	-148	49	18430	236	-148	49	18430
237	-23	23	18453	237	-23	23	18453
238	-29	29	18482	238	-29	29	18482
239	-33	33	18515	239	-33	33	18515
240	-34	34	18549	240	-34	34	18549
241	-21	21	18570	241	-21	21	18570
242	-132	33	18603	242	-132	33	18603
243	-43	43	18646	243	-43	43	18646
244	-47	47	18693	244	-47	47	18693
245	-18	18	18711	245	-18	18	18711
246	-127	28	18739	246	-127	28	18739
247	-26	26	18765	247	-26	26	18765
248	-122	23	18788	248	-122	23	18788
249	-33	33	18821	249	-33	33	18821
250	-42	42	18863	250	-42	42	18863
251	-30	30	18893	251	-30	30	18893
252	-45	45	18938	252	-45	45	18938
253	-154	55	18993	253	-154	55	18993
254	-36	36	19029	254	-36	36	19029
255	-21	21	19050	255	-21	21	19050
256	-36	36	19086	256	-36	36	19086
257	-37	37	19123	257	-37	37	19123
258	-33	33	19156	258	-33	33	19156
259	-39	39	19195	259	-39	39	19195
260	-26	26	19221	260	-26	26	19221
261	-135	36	19257	261	-135	36	19257
262	-21	21	19278	262	-21	21	19278
263	-36	36	19314	263	-36	36	19314
264	-36	36	19350	264	-36	36	19350
265	-17	17	19367	265	-17	17	19367
266	-38	38	19405	266	-38	38	19405
267	-25	25	19430	267	-25	25	19430
268	-36	36	19466	268	-36	36	19466
269	-141	42	19508	269	-141	42	19508
270	-41	41	19549	270	-41	41	19549
271	-34	34	19583	271	-34	34	19583
272	-29	29	19612	272	-29	29	19612
273	-23	23	19635	273	-23	23	19635
274	-28	28	19663	274	-28	28	19663
275	-23	23	19686	275	-23	23	19686
276	-25	25	19711	276	-25	25	19711
277	-27	27	19738	277	-27	27	19738
278	-29	29	19767	278	-29	29	19767
279	-31	31	19798	279	-31	31	19798
280	-32	32	19830	280	-32	32	19830
281	-28	28	19858	281	-28	28	19858
282	-27	27	19885	282	-27	27	19885
283	-23	23	19908	283	-23	23	19908
284	-33	33	19941	284	-33	33	19941
285	-31	31	19972	285	-31	31	19972
286	-25	25	19997	286	-25	25	19997
287	-31	31	20028	287	-31	31	20028
288	-23	23	20051	288	-23	23	20051
289	-31	31	20082	289	-31	31	20082
290	-28	28	20110	290	-28	28	20110
291	-152	53	20163	291	-152	53	20163
292	-28	28	20191	292	-28	28	20191
293	-24	24	20215	293	-24	24	20215
294	-125	26	20241	294	-125	26	20241
295	-21	21	20262	295	-21	21	20262
296	-44	44	20306	296	-44	44	20306
297	-26	26	20332	297	-26	26	20332
298	-23	23	20355	298	-23	23	20355
299	-43	43	20398	299	-43	43	20398
300	-17	17	20415	300	-17	17	20415
301	-17	17	20432	301	-17	17	20432
302	-35	35	20467	302	-35	35	20467
303	-131	32	20499	303	-131	32	20499
304	-21	21	20520	304	-21	21	20520
305	-36	36	20556	305	-36	36	20556
306	-34	34	20590	306	-34	34	20590
307	-25	25	20615	307	-25	25	20615
308	-37	37	20652	308	-37	37	20652
309	-26	26	20678	309	-26	26	20678
310	-22	22	20700	310	-22	22	20700
311	-32	32	20732	311	-32	32	20732
312	-124	25	20757	312	-124	25	20757
313	-135	36	20793	313	-135	36	20793
314	-127	28	20821	314	-127	28	20821
315	-34	34	20855	315	-34	34	20855
316	-22	22	20877	316	-22	22	20877
317	-25	25	20902	317	-25	25	20902
