Episode	Accumulated Reward	Length	Steps
0	-2184	897	897
1	-1692	702	1599
2	-36	36	1635
3	-29	29	1664
4	-27	27	1691
5	-37	37	1728
6	-219	120	1848
7	-60	60	1908
8	-47	47	1955
9	-31	31	1986
10	-77	77	2063
11	-168	69	2132
12	-54	54	2186
13	-61	61	2247
14	-50	50	2297
15	-201	102	2399
16	-37	37	2436
17	-26	26	2462
18	-24	24	2486
19	-26	26	2512
20	-701	404	2916
21	-66	66	2982
22	-68	68	3050
23	-31	31	3081
24	-17	17	3098
25	-22	22	3120
26	-24	24	3144
27	-31	31	3175
28	-193	94	3269
29	-21	21	3290
30	-24	24	3314
31	-18	18	3332
32	-21	21	3353
33	-29	29	3382
34	-42	42	3424
35	-23	23	3447
36	-24	24	3471
37	-19	19	3490
38	-21	21	3511
39	-22	22	3533
40	-23	23	3556
41	-21	21	3577
42	-19	19	3596
43	-19	19	3615
44	-19	19	3634
45	-21	21	3655
46	-21	21	3676
47	-23	23	3699
48	-27	27	3726
49	-21	21	3747
50	-20	20	3767
51	-19	19	3786
52	-19	19	3805
53	-32	32	3837
54	-19	19	3856
55	-21	21	3877
56	-17	17	3894
57	-19	19	3913
58	-19	19	3932
59	-22	22	3954
60	-29	29	3983
61	-21	21	4004
62	-23	23	4027
63	-19	19	4046
64	-21	21	4067
65	-27	27	4094
66	-23	23	4117
67	-19	19	4136
68	-23	23	4159
69	-25	25	4184
70	-22	22	4206
71	-19	19	4225
72	-21	21	4246
73	-26	26	4272
74	-29	29	4301
75	-20	20	4321
76	-19	19	4340
77	-22	22	4362
78	-21	21	4383
79	-27	27	4410
80	-22	22	4432
81	-23	23	4455
82	-38	38	4493
83	-29	29	4522
84	-26	26	4548
85	-19	19	4567
86	-23	23	4590
87	-19	19	4609
88	-22	22	4631
89	-19	19	4650
90	-21	21	4671
91	-21	21	4692
92	-20	20	4712
93	-19	19	4731
94	-19	19	4750
95	-21	21	4771
96	-21	21	4792
97	-25	25	4817
98	-22	22	4839
99	-19	19	4858
100	-19	19	4877
101	-19	19	4896
102	-19	19	4915
103	-23	23	4938
104	-21	21	4959
105	-19	19	4978
106	-23	23	5001
107	-24	24	5025
108	-25	25	5050
109	-20	20	5070
110	-122	23	5093
111	-21	21	5114
112	-20	20	5134
113	-19	19	5153
114	-22	22	5175
115	-19	19	5194
116	-19	19	5213
117	-22	22	5235
118	-23	23	5258
119	-23	23	5281
120	-19	19	5300
121	-21	21	5321
122	-26	26	5347
123	-22	22	5369
124	-25	25	5394
125	-19	19	5413
126	-122	23	5436
127	-21	21	5457
128	-20	20	5477
129	-20	20	5497
130	-22	22	5519
131	-22	22	5541
132	-19	19	5560
133	-19	19	5579
134	-22	22	5601
135	-21	21	5622
136	-19	19	5641
137	-132	33	5674
138	-21	21	5695
139	-20	20	5715
140	-20	20	5735
141	-22	22	5757
142	-28	28	5785
143	-19	19	5804
144	-122	23	5827
145	-24	24	5851
146	-23	23	5874
147	-20	20	5894
148	-25	25	5919
149	-19	19	5938
150	-21	21	5959
151	-20	20	5979
152	-29	29	6008
153	-23	23	6031
154	-21	21	6052
155	-22	22	6074
156	-21	21	6095
157	-20	20	6115
158	-21	21	6136
159	-20	20	6156
160	-20	20	6176
161	-119	20	6196
162	-19	19	6215
163	-22	22	6237
164	-20	20	6257
165	-19	19	6276
166	-19	19	6295
167	-32	32	6327
168	-120	21	6348
169	-21	21	6369
170	-22	22	6391
171	-24	24	6415
172	-27	27	6442
173	-24	24	6466
174	-24	24	6490
175	-21	21	6511
176	-122	23	6534
177	-19	19	6553
178	-23	23	6576
179	-25	25	6601
180	-18	18	6619
181	-23	23	6642
182	-25	25	6667
183	-35	35	6702
184	-20	20	6722
185	-21	21	6743
186	-23	23	6766
187	-26	26	6792
188	-21	21	6813
189	-21	21	6834
190	-20	20	6854
191	-21	21	6875
192	-21	21	6896
193	-21	21	6917
194	-19	19	6936
195	-19	19	6955
196	-19	19	6974
197	-22	22	6996
198	-28	28	7024
199	-21	21	7045
200	-21	21	7066
201	-28	28	7094
202	-28	28	7122
203	-19	19	7141
204	-25	25	7166
205	-24	24	7190
206	-17	17	7207
207	-23	23	7230
208	-21	21	7251
209	-22	22	7273
210	-23	23	7296
211	-26	26	7322
212	-19	19	7341
213	-22	22	7363
214	-23	23	7386
215	-19	19	7405
216	-20	20	7425
217	-21	21	7446
218	-19	19	7465
219	-23	23	7488
220	-20	20	7508
221	-25	25	7533
222	-25	25	7558
223	-21	21	7579
224	-23	23	7602
225	-19	19	7621
226	-20	20	7641
227	-17	17	7658
228	-20	20	7678
229	-25	25	7703
230	-19	19	7722
231	-22	22	7744
232	-21	21	7765
233	-24	24	7789
234	-24	24	7813
235	-22	22	7835
236	-24	24	7859
237	-19	19	7878
238	-26	26	7904
239	-21	21	7925
240	-20	20	7945
241	-19	19	7964
242	-23	23	7987
243	-19	19	8006
244	-21	21	8027
245	-120	21	8048
246	-21	21	8069
247	-22	22	8091
248	-19	19	8110
249	-19	19	8129
250	-122	23	8152
251	-23	23	8175
252	-20	20	8195
253	-121	22	8217
254	-19	19	8236
255	-26	26	8262
256	-26	26	8288
257	-19	19	8307
258	-20	20	8327
259	-24	24	8351
260	-20	20	8371
261	-25	25	8396
262	-21	21	8417
263	-27	27	8444
264	-21	21	8465
265	-26	26	8491
266	-22	22	8513
267	-22	22	8535
268	-20	20	8555
269	-25	25	8580
270	-20	20	8600
271	-19	19	8619
272	-20	20	8639
273	-25	25	8664
274	-20	20	8684
275	-31	31	8715
276	-21	21	8736
277	-22	22	8758
278	-21	21	8779
279	-23	23	8802
280	-25	25	8827
281	-19	19	8846
282	-20	20	8866
283	-20	20	8886
284	-23	23	8909
285	-19	19	8928
286	-23	23	8951
287	-19	19	8970
288	-19	19	8989
289	-20	20	9009
290	-29	29	9038
291	-24	24	9062
292	-21	21	9083
293	-25	25	9108
294	-19	19	9127
295	-20	20	9147
296	-21	21	9168
297	-20	20	9188
298	-22	22	9210
299	-20	20	9230
300	-19	19	9249
301	-21	21	9270
302	-19	19	9289
303	-22	22	9311
304	-27	27	9338
305	-24	24	9362
306	-28	28	9390
307	-19	19	9409
308	-19	19	9428
309	-24	24	9452
310	-25	25	9477
311	-19	19	9496
312	-21	21	9517
313	-23	23	9540
314	-25	25	9565
315	-21	21	9586
316	-21	21	9607
317	-23	23	9630
318	-25	25	9655
319	-24	24	9679
320	-19	19	9698
321	-21	21	9719
322	-23	23	9742
323	-27	27	9769
324	-26	26	9795
325	-24	24	9819
326	-22	22	9841
327	-22	22	9863
328	-23	23	9886
329	-21	21	9907
