Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
18	-134	134	3730	18	-134	134	3730	18	-134	134	3730	18	-134	134	3730	18	-134	134	3730	18	-134	134	3730	18	-134	134	3730	18	-134	134	3730	18	-134	134	3730	18	-134	134	3730	18	-134	134	3730	18	-134	134	3730	18	-134	134	3730	18	-134	134	3730	18	-134	134	3730	18	-134	134	3730
19	-371	173	3903	19	-371	173	3903	19	-371	173	3903	19	-371	173	3903	19	-371	173	3903	19	-371	173	3903	19	-371	173	3903	19	-371	173	3903	19	-371	173	3903	19	-371	173	3903	19	-371	173	3903	19	-371	173	3903	19	-371	173	3903	19	-371	173	3903	19	-371	173	3903	19	-371	173	3903
20	-59	59	3962	20	-59	59	3962	20	-59	59	3962	20	-59	59	3962	20	-59	59	3962	20	-59	59	3962	20	-59	59	3962	20	-59	59	3962	20	-59	59	3962	20	-59	59	3962	20	-59	59	3962	20	-59	59	3962	20	-59	59	3962	20	-59	59	3962	20	-59	59	3962	20	-59	59	3962
21	-158	158	4120	21	-158	158	4120	21	-158	158	4120	21	-158	158	4120	21	-158	158	4120	21	-158	158	4120	21	-158	158	4120	21	-158	158	4120	21	-158	158	4120	21	-158	158	4120	21	-158	158	4120	21	-158	158	4120	21	-158	158	4120	21	-158	158	4120	21	-158	158	4120	21	-158	158	4120
22	-181	82	4202	22	-181	82	4202	22	-181	82	4202	22	-181	82	4202	22	-181	82	4202	22	-181	82	4202	22	-181	82	4202	22	-181	82	4202	22	-181	82	4202	22	-181	82	4202	22	-181	82	4202	22	-181	82	4202	22	-181	82	4202	22	-181	82	4202	22	-181	82	4202	22	-181	82	4202
23	-94	94	4296	23	-94	94	4296	23	-94	94	4296	23	-94	94	4296	23	-94	94	4296	23	-94	94	4296	23	-94	94	4296	23	-94	94	4296	23	-94	94	4296	23	-94	94	4296	23	-94	94	4296	23	-94	94	4296	23	-94	94	4296	23	-94	94	4296	23	-94	94	4296	23	-94	94	4296
24	-47	47	4343	24	-47	47	4343	24	-47	47	4343	24	-47	47	4343	24	-47	47	4343	24	-47	47	4343	24	-47	47	4343	24	-47	47	4343	24	-47	47	4343	24	-47	47	4343	24	-47	47	4343	24	-47	47	4343	24	-47	47	4343	24	-47	47	4343	24	-47	47	4343	24	-47	47	4343
25	-169	70	4413	25	-169	70	4413	25	-169	70	4413	25	-169	70	4413	25	-169	70	4413	25	-169	70	4413	25	-169	70	4413	25	-169	70	4413	25	-169	70	4413	25	-169	70	4413	25	-169	70	4413	25	-169	70	4413	25	-169	70	4413	25	-169	70	4413	25	-169	70	4413	25	-169	70	4413
26	-72	72	4485	26	-72	72	4485	26	-72	72	4485	26	-72	72	4485	26	-72	72	4485	26	-72	72	4485	26	-72	72	4485	26	-72	72	4485	26	-72	72	4485	26	-72	72	4485	26	-72	72	4485	26	-72	72	4485	26	-72	72	4485	26	-72	72	4485	26	-72	72	4485	26	-72	72	4485
27	-200	101	4586	27	-200	101	4586	27	-200	101	4586	27	-200	101	4586	27	-200	101	4586	27	-200	101	4586	27	-200	101	4586	27	-200	101	4586	27	-200	101	4586	27	-200	101	4586	27	-200	101	4586	27	-200	101	4586	27	-200	101	4586	27	-200	101	4586	27	-200	101	4586	27	-200	101	4586
28	-101	101	4687	28	-101	101	4687	28	-101	101	4687	28	-101	101	4687	28	-101	101	4687	28	-101	101	4687	28	-101	101	4687	28	-101	101	4687	28	-101	101	4687	28	-101	101	4687	28	-101	101	4687	28	-101	101	4687	28	-101	101	4687	28	-101	101	4687	28	-101	101	4687	28	-101	101	4687
29	-72	72	4759	29	-72	72	4759	29	-72	72	4759	29	-72	72	4759	29	-72	72	4759	29	-72	72	4759	29	-72	72	4759	29	-72	72	4759	29	-72	72	4759	29	-72	72	4759	29	-72	72	4759	29	-72	72	4759	29	-72	72	4759	29	-72	72	4759	29	-72	72	4759	29	-72	72	4759
30	-45	45	4804	30	-45	45	4804	30	-45	45	4804	30	-45	45	4804	30	-45	45	4804	30	-45	45	4804	30	-45	45	4804	30	-45	45	4804	30	-45	45	4804	30	-45	45	4804	30	-45	45	4804	30	-45	45	4804	30	-45	45	4804	30	-45	45	4804	30	-45	45	4804	30	-45	45	4804
31	-322	124	4928	31	-322	124	4928	31	-322	124	4928	31	-322	124	4928	31	-322	124	4928	31	-322	124	4928	31	-322	124	4928	31	-322	124	4928	31	-322	124	4928	31	-322	124	4928	31	-322	124	4928	31	-322	124	4928	31	-322	124	4928	31	-322	124	4928	31	-322	124	4928	31	-322	124	4928
32	-93	93	5021	32	-93	93	5021	32	-93	93	5021	32	-93	93	5021	32	-93	93	5021	32	-93	93	5021	32	-93	93	5021	32	-93	93	5021	32	-93	93	5021	32	-93	93	5021	32	-93	93	5021	32	-93	93	5021	32	-93	93	5021	32	-93	93	5021	32	-93	93	5021	32	-93	93	5021
33	-57	57	5078	33	-57	57	5078	33	-57	57	5078	33	-57	57	5078	33	-57	57	5078	33	-57	57	5078	33	-57	57	5078	33	-57	57	5078	33	-57	57	5078	33	-57	57	5078	33	-57	57	5078	33	-57	57	5078	33	-57	57	5078	33	-57	57	5078	33	-57	57	5078	33	-57	57	5078
34	-48	48	5126	34	-48	48	5126	34	-48	48	5126	34	-48	48	5126	34	-48	48	5126	34	-48	48	5126	34	-48	48	5126	34	-48	48	5126	34	-48	48	5126	34	-48	48	5126	34	-48	48	5126	34	-48	48	5126	34	-48	48	5126	34	-48	48	5126	34	-48	48	5126	34	-48	48	5126
35	-194	95	5221	35	-194	95	5221	35	-194	95	5221	35	-194	95	5221	35	-194	95	5221	35	-194	95	5221	35	-194	95	5221	35	-194	95	5221	35	-194	95	5221	35	-194	95	5221	35	-194	95	5221	35	-194	95	5221	35	-194	95	5221	35	-194	95	5221	35	-194	95	5221	35	-194	95	5221
36	-60	60	5281	36	-60	60	5281	36	-60	60	5281	36	-60	60	5281	36	-60	60	5281	36	-60	60	5281	36	-60	60	5281	36	-60	60	5281	36	-60	60	5281	36	-60	60	5281	36	-60	60	5281	36	-60	60	5281	36	-60	60	5281	36	-60	60	5281	36	-60	60	5281	36	-60	60	5281
37	-176	77	5358	37	-176	77	5358	37	-176	77	5358	37	-176	77	5358	37	-176	77	5358	37	-176	77	5358	37	-176	77	5358	37	-176	77	5358	37	-176	77	5358	37	-176	77	5358	37	-176	77	5358	37	-176	77	5358	37	-176	77	5358	37	-176	77	5358	37	-176	77	5358	37	-176	77	5358
38	-52	52	5410	38	-52	52	5410	38	-52	52	5410	38	-52	52	5410	38	-52	52	5410	38	-52	52	5410	38	-52	52	5410	38	-52	52	5410	38	-52	52	5410	38	-52	52	5410	38	-52	52	5410	38	-52	52	5410	38	-52	52	5410	38	-52	52	5410	38	-52	52	5410	38	-52	52	5410
39	-42	42	5452	39	-42	42	5452	39	-42	42	5452	39	-42	42	5452	39	-42	42	5452	39	-42	42	5452	39	-42	42	5452	39	-42	42	5452	39	-42	42	5452	39	-42	42	5452	39	-42	42	5452	39	-42	42	5452	39	-42	42	5452	39	-42	42	5452	39	-42	42	5452	39	-42	42	5452
40	-94	94	5546	40	-94	94	5546	40	-94	94	5546	40	-94	94	5546	40	-94	94	5546	40	-94	94	5546	40	-94	94	5546	40	-94	94	5546	40	-94	94	5546	40	-94	94	5546	40	-94	94	5546	40	-94	94	5546	40	-94	94	5546	40	-94	94	5546	40	-94	94	5546	40	-94	94	5546
41	-701	206	5752	41	-701	206	5752	41	-701	206	5752	41	-701	206	5752	41	-701	206	5752	41	-701	206	5752	41	-701	206	5752	41	-701	206	5752	41	-701	206	5752	41	-701	206	5752	41	-701	206	5752	41	-701	206	5752	41	-701	206	5752	41	-701	206	5752	41	-701	206	5752	41	-701	206	5752
42	-42	42	5794	42	-42	42	5794	42	-42	42	5794	42	-42	42	5794	42	-42	42	5794	42	-42	42	5794	42	-42	42	5794	42	-42	42	5794	42	-42	42	5794	42	-42	42	5794	42	-42	42	5794	42	-42	42	5794	42	-42	42	5794	42	-42	42	5794	42	-42	42	5794	42	-42	42	5794
43	-179	80	5874	43	-179	80	5874	43	-179	80	5874	43	-179	80	5874	43	-179	80	5874	43	-179	80	5874	43	-179	80	5874	43	-179	80	5874	43	-179	80	5874	43	-179	80	5874	43	-179	80	5874	43	-179	80	5874	43	-179	80	5874	43	-179	80	5874	43	-179	80	5874	43	-179	80	5874
44	-58	58	5932	44	-58	58	5932	44	-58	58	5932	44	-58	58	5932	44	-58	58	5932	44	-58	58	5932	44	-58	58	5932	44	-58	58	5932	44	-58	58	5932	44	-58	58	5932	44	-58	58	5932	44	-58	58	5932	44	-58	58	5932	44	-58	58	5932	44	-58	58	5932	44	-58	58	5932
45	-39	39	5971	45	-39	39	5971	45	-39	39	5971	45	-39	39	5971	45	-39	39	5971	45	-39	39	5971	45	-39	39	5971	45	-39	39	5971	45	-39	39	5971	45	-39	39	5971	45	-39	39	5971	45	-39	39	5971	45	-39	39	5971	45	-39	39	5971	45	-39	39	5971	45	-39	39	5971
46	-52	52	6023	46	-52	52	6023	46	-52	52	6023	46	-52	52	6023	46	-52	52	6023	46	-52	52	6023	46	-52	52	6023	46	-52	52	6023	46	-52	52	6023	46	-52	52	6023	46	-52	52	6023	46	-52	52	6023	46	-52	52	6023	46	-52	52	6023	46	-52	52	6023	46	-52	52	6023
47	-169	70	6093	47	-169	70	6093	47	-169	70	6093	47	-169	70	6093	47	-169	70	6093	47	-169	70	6093	47	-169	70	6093	47	-169	70	6093	47	-169	70	6093	47	-169	70	6093	47	-169	70	6093	47	-169	70	6093	47	-169	70	6093	47	-169	70	6093	47	-169	70	6093	47	-169	70	6093
48	-42	42	6135	48	-42	42	6135	48	-42	42	6135	48	-42	42	6135	48	-42	42	6135	48	-42	42	6135	48	-42	42	6135	48	-42	42	6135	48	-42	42	6135	48	-42	42	6135	48	-42	42	6135	48	-42	42	6135	48	-42	42	6135	48	-42	42	6135	48	-42	42	6135	48	-42	42	6135
49	-182	83	6218	49	-182	83	6218	49	-182	83	6218	49	-182	83	6218	49	-182	83	6218	49	-182	83	6218	49	-182	83	6218	49	-182	83	6218	49	-182	83	6218	49	-182	83	6218	49	-182	83	6218	49	-182	83	6218	49	-182	83	6218	49	-182	83	6218	49	-182	83	6218	49	-182	83	6218
50	-179	80	6298	50	-179	80	6298	50	-179	80	6298	50	-179	80	6298	50	-179	80	6298	50	-179	80	6298	50	-179	80	6298	50	-179	80	6298	50	-179	80	6298	50	-179	80	6298	50	-179	80	6298	50	-179	80	6298	50	-179	80	6298	50	-179	80	6298	50	-179	80	6298	50	-179	80	6298
51	-181	82	6380	51	-181	82	6380	51	-181	82	6380	51	-181	82	6380	51	-181	82	6380	51	-181	82	6380	51	-181	82	6380	51	-181	82	6380	51	-181	82	6380	51	-181	82	6380	51	-181	82	6380	51	-181	82	6380	51	-181	82	6380	51	-181	82	6380	51	-181	82	6380	51	-181	82	6380
52	-24	24	6404	52	-24	24	6404	52	-24	24	6404	52	-24	24	6404	52	-24	24	6404	52	-24	24	6404	52	-24	24	6404	52	-24	24	6404	52	-24	24	6404	52	-24	24	6404	52	-24	24	6404	52	-24	24	6404	52	-24	24	6404	52	-24	24	6404	52	-24	24	6404	52	-24	24	6404
53	-42	42	6446	53	-42	42	6446	53	-42	42	6446	53	-42	42	6446	53	-42	42	6446	53	-42	42	6446	53	-42	42	6446	53	-42	42	6446	53	-42	42	6446	53	-42	42	6446	53	-42	42	6446	53	-42	42	6446	53	-42	42	6446	53	-42	42	6446	53	-42	42	6446	53	-42	42	6446
