Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
74	-24	24	7507	74	-24	24	7507	74	-24	24	7507	74	-24	24	7507	74	-24	24	7507	74	-24	24	7507	74	-24	24	7507	74	-24	24	7507	74	-24	24	7507	74	-24	24	7507	74	-24	24	7507	74	-24	24	7507	74	-24	24	7507	74	-24	24	7507	74	-24	24	7507	74	-24	24	7507
75	-150	51	7558	75	-150	51	7558	75	-150	51	7558	75	-150	51	7558	75	-150	51	7558	75	-150	51	7558	75	-150	51	7558	75	-150	51	7558	75	-150	51	7558	75	-150	51	7558	75	-150	51	7558	75	-150	51	7558	75	-150	51	7558	75	-150	51	7558	75	-150	51	7558	75	-150	51	7558
76	-21	21	7579	76	-21	21	7579	76	-21	21	7579	76	-21	21	7579	76	-21	21	7579	76	-21	21	7579	76	-21	21	7579	76	-21	21	7579	76	-21	21	7579	76	-21	21	7579	76	-21	21	7579	76	-21	21	7579	76	-21	21	7579	76	-21	21	7579	76	-21	21	7579	76	-21	21	7579
77	-47	47	7626	77	-47	47	7626	77	-47	47	7626	77	-47	47	7626	77	-47	47	7626	77	-47	47	7626	77	-47	47	7626	77	-47	47	7626	77	-47	47	7626	77	-47	47	7626	77	-47	47	7626	77	-47	47	7626	77	-47	47	7626	77	-47	47	7626	77	-47	47	7626	77	-47	47	7626
78	-48	48	7674	78	-48	48	7674	78	-48	48	7674	78	-48	48	7674	78	-48	48	7674	78	-48	48	7674	78	-48	48	7674	78	-48	48	7674	78	-48	48	7674	78	-48	48	7674	78	-48	48	7674	78	-48	48	7674	78	-48	48	7674	78	-48	48	7674	78	-48	48	7674	78	-48	48	7674
79	-29	29	7703	79	-29	29	7703	79	-29	29	7703	79	-29	29	7703	79	-29	29	7703	79	-29	29	7703	79	-29	29	7703	79	-29	29	7703	79	-29	29	7703	79	-29	29	7703	79	-29	29	7703	79	-29	29	7703	79	-29	29	7703	79	-29	29	7703	79	-29	29	7703	79	-29	29	7703
80	-29	29	7732	80	-29	29	7732	80	-29	29	7732	80	-29	29	7732	80	-29	29	7732	80	-29	29	7732	80	-29	29	7732	80	-29	29	7732	80	-29	29	7732	80	-29	29	7732	80	-29	29	7732	80	-29	29	7732	80	-29	29	7732	80	-29	29	7732	80	-29	29	7732	80	-29	29	7732
81	-46	46	7778	81	-46	46	7778	81	-46	46	7778	81	-46	46	7778	81	-46	46	7778	81	-46	46	7778	81	-46	46	7778	81	-46	46	7778	81	-46	46	7778	81	-46	46	7778	81	-46	46	7778	81	-46	46	7778	81	-46	46	7778	81	-46	46	7778	81	-46	46	7778	81	-46	46	7778
82	-157	58	7836	82	-157	58	7836	82	-157	58	7836	82	-157	58	7836	82	-157	58	7836	82	-157	58	7836	82	-157	58	7836	82	-157	58	7836	82	-157	58	7836	82	-157	58	7836	82	-157	58	7836	82	-157	58	7836	82	-157	58	7836	82	-157	58	7836	82	-157	58	7836	82	-157	58	7836
83	-23	23	7859	83	-23	23	7859	83	-23	23	7859	83	-23	23	7859	83	-23	23	7859	83	-23	23	7859	83	-23	23	7859	83	-23	23	7859	83	-23	23	7859	83	-23	23	7859	83	-23	23	7859	83	-23	23	7859	83	-23	23	7859	83	-23	23	7859	83	-23	23	7859	83	-23	23	7859
84	-30	30	7889	84	-30	30	7889	84	-30	30	7889	84	-30	30	7889	84	-30	30	7889	84	-30	30	7889	84	-30	30	7889	84	-30	30	7889	84	-30	30	7889	84	-30	30	7889	84	-30	30	7889	84	-30	30	7889	84	-30	30	7889	84	-30	30	7889	84	-30	30	7889	84	-30	30	7889
85	-35	35	7924	85	-35	35	7924	85	-35	35	7924	85	-35	35	7924	85	-35	35	7924	85	-35	35	7924	85	-35	35	7924	85	-35	35	7924	85	-35	35	7924	85	-35	35	7924	85	-35	35	7924	85	-35	35	7924	85	-35	35	7924	85	-35	35	7924	85	-35	35	7924	85	-35	35	7924
86	-151	52	7976	86	-151	52	7976	86	-151	52	7976	86	-151	52	7976	86	-151	52	7976	86	-151	52	7976	86	-151	52	7976	86	-151	52	7976	86	-151	52	7976	86	-151	52	7976	86	-151	52	7976	86	-151	52	7976	86	-151	52	7976	86	-151	52	7976	86	-151	52	7976	86	-151	52	7976
87	-39	39	8015	87	-39	39	8015	87	-39	39	8015	87	-39	39	8015	87	-39	39	8015	87	-39	39	8015	87	-39	39	8015	87	-39	39	8015	87	-39	39	8015	87	-39	39	8015	87	-39	39	8015	87	-39	39	8015	87	-39	39	8015	87	-39	39	8015	87	-39	39	8015	87	-39	39	8015
88	-51	51	8066	88	-51	51	8066	88	-51	51	8066	88	-51	51	8066	88	-51	51	8066	88	-51	51	8066	88	-51	51	8066	88	-51	51	8066	88	-51	51	8066	88	-51	51	8066	88	-51	51	8066	88	-51	51	8066	88	-51	51	8066	88	-51	51	8066	88	-51	51	8066	88	-51	51	8066
89	-46	46	8112	89	-46	46	8112	89	-46	46	8112	89	-46	46	8112	89	-46	46	8112	89	-46	46	8112	89	-46	46	8112	89	-46	46	8112	89	-46	46	8112	89	-46	46	8112	89	-46	46	8112	89	-46	46	8112	89	-46	46	8112	89	-46	46	8112	89	-46	46	8112	89	-46	46	8112
90	-34	34	8146	90	-34	34	8146	90	-34	34	8146	90	-34	34	8146	90	-34	34	8146	90	-34	34	8146	90	-34	34	8146	90	-34	34	8146	90	-34	34	8146	90	-34	34	8146	90	-34	34	8146	90	-34	34	8146	90	-34	34	8146	90	-34	34	8146	90	-34	34	8146	90	-34	34	8146
91	-42	42	8188	91	-42	42	8188	91	-42	42	8188	91	-42	42	8188	91	-42	42	8188	91	-42	42	8188	91	-42	42	8188	91	-42	42	8188	91	-42	42	8188	91	-42	42	8188	91	-42	42	8188	91	-42	42	8188	91	-42	42	8188	91	-42	42	8188	91	-42	42	8188	91	-42	42	8188
92	-29	29	8217	92	-29	29	8217	92	-29	29	8217	92	-29	29	8217	92	-29	29	8217	92	-29	29	8217	92	-29	29	8217	92	-29	29	8217	92	-29	29	8217	92	-29	29	8217	92	-29	29	8217	92	-29	29	8217	92	-29	29	8217	92	-29	29	8217	92	-29	29	8217	92	-29	29	8217
93	-28	28	8245	93	-28	28	8245	93	-28	28	8245	93	-28	28	8245	93	-28	28	8245	93	-28	28	8245	93	-28	28	8245	93	-28	28	8245	93	-28	28	8245	93	-28	28	8245	93	-28	28	8245	93	-28	28	8245	93	-28	28	8245	93	-28	28	8245	93	-28	28	8245	93	-28	28	8245
94	-30	30	8275	94	-30	30	8275	94	-30	30	8275	94	-30	30	8275	94	-30	30	8275	94	-30	30	8275	94	-30	30	8275	94	-30	30	8275	94	-30	30	8275	94	-30	30	8275	94	-30	30	8275	94	-30	30	8275	94	-30	30	8275	94	-30	30	8275	94	-30	30	8275	94	-30	30	8275
95	-29	29	8304	95	-29	29	8304	95	-29	29	8304	95	-29	29	8304	95	-29	29	8304	95	-29	29	8304	95	-29	29	8304	95	-29	29	8304	95	-29	29	8304	95	-29	29	8304	95	-29	29	8304	95	-29	29	8304	95	-29	29	8304	95	-29	29	8304	95	-29	29	8304	95	-29	29	8304
96	-47	47	8351	96	-47	47	8351	96	-47	47	8351	96	-47	47	8351	96	-47	47	8351	96	-47	47	8351	96	-47	47	8351	96	-47	47	8351	96	-47	47	8351	96	-47	47	8351	96	-47	47	8351	96	-47	47	8351	96	-47	47	8351	96	-47	47	8351	96	-47	47	8351	96	-47	47	8351
97	-160	61	8412	97	-160	61	8412	97	-160	61	8412	97	-160	61	8412	97	-160	61	8412	97	-160	61	8412	97	-160	61	8412	97	-160	61	8412	97	-160	61	8412	97	-160	61	8412	97	-160	61	8412	97	-160	61	8412	97	-160	61	8412	97	-160	61	8412	97	-160	61	8412	97	-160	61	8412
98	-22	22	8434	98	-22	22	8434	98	-22	22	8434	98	-22	22	8434	98	-22	22	8434	98	-22	22	8434	98	-22	22	8434	98	-22	22	8434	98	-22	22	8434	98	-22	22	8434	98	-22	22	8434	98	-22	22	8434	98	-22	22	8434	98	-22	22	8434	98	-22	22	8434	98	-22	22	8434
99	-29	29	8463	99	-29	29	8463	99	-29	29	8463	99	-29	29	8463	99	-29	29	8463	99	-29	29	8463	99	-29	29	8463	99	-29	29	8463	99	-29	29	8463	99	-29	29	8463	99	-29	29	8463	99	-29	29	8463	99	-29	29	8463	99	-29	29	8463	99	-29	29	8463	99	-29	29	8463
100	-48	48	8511	100	-48	48	8511	100	-48	48	8511	100	-48	48	8511	100	-48	48	8511	100	-48	48	8511	100	-48	48	8511	100	-48	48	8511	100	-48	48	8511	100	-48	48	8511	100	-48	48	8511	100	-48	48	8511	100	-48	48	8511	100	-48	48	8511	100	-48	48	8511	100	-48	48	8511
101	-128	29	8540	101	-128	29	8540	101	-128	29	8540	101	-128	29	8540	101	-128	29	8540	101	-128	29	8540	101	-128	29	8540	101	-128	29	8540	101	-128	29	8540	101	-128	29	8540	101	-128	29	8540	101	-128	29	8540	101	-128	29	8540	101	-128	29	8540	101	-128	29	8540	101	-128	29	8540
102	-261	63	8603	102	-261	63	8603	102	-261	63	8603	102	-261	63	8603	102	-261	63	8603	102	-261	63	8603	102	-261	63	8603	102	-261	63	8603	102	-261	63	8603	102	-261	63	8603	102	-261	63	8603	102	-261	63	8603	102	-261	63	8603	102	-261	63	8603	102	-261	63	8603	102	-261	63	8603
103	-144	45	8648	103	-144	45	8648	103	-144	45	8648	103	-144	45	8648	103	-144	45	8648	103	-144	45	8648	103	-144	45	8648	103	-144	45	8648	103	-144	45	8648	103	-144	45	8648	103	-144	45	8648	103	-144	45	8648	103	-144	45	8648	103	-144	45	8648	103	-144	45	8648	103	-144	45	8648
104	-45	45	8693	104	-45	45	8693	104	-45	45	8693	104	-45	45	8693	104	-45	45	8693	104	-45	45	8693	104	-45	45	8693	104	-45	45	8693	104	-45	45	8693	104	-45	45	8693	104	-45	45	8693	104	-45	45	8693	104	-45	45	8693	104	-45	45	8693	104	-45	45	8693	104	-45	45	8693
105	-18	18	8711	105	-18	18	8711	105	-18	18	8711	105	-18	18	8711	105	-18	18	8711	105	-18	18	8711	105	-18	18	8711	105	-18	18	8711	105	-18	18	8711	105	-18	18	8711	105	-18	18	8711	105	-18	18	8711	105	-18	18	8711	105	-18	18	8711	105	-18	18	8711	105	-18	18	8711
106	-19	19	8730	106	-19	19	8730	106	-19	19	8730	106	-19	19	8730	106	-19	19	8730	106	-19	19	8730	106	-19	19	8730	106	-19	19	8730	106	-19	19	8730	106	-19	19	8730	106	-19	19	8730	106	-19	19	8730	106	-19	19	8730	106	-19	19	8730	106	-19	19	8730	106	-19	19	8730
107	-33	33	8763	107	-33	33	8763	107	-33	33	8763	107	-33	33	8763	107	-33	33	8763	107	-33	33	8763	107	-33	33	8763	107	-33	33	8763	107	-33	33	8763	107	-33	33	8763	107	-33	33	8763	107	-33	33	8763	107	-33	33	8763	107	-33	33	8763	107	-33	33	8763	107	-33	33	8763
108	-33	33	8796	108	-33	33	8796	108	-33	33	8796	108	-33	33	8796	108	-33	33	8796	108	-33	33	8796	108	-33	33	8796	108	-33	33	8796	108	-33	33	8796	108	-33	33	8796	108	-33	33	8796	108	-33	33	8796	108	-33	33	8796	108	-33	33	8796	108	-33	33	8796	108	-33	33	8796
109	-145	46	8842	109	-145	46	8842	109	-145	46	8842	109	-145	46	8842	109	-145	46	8842	109	-145	46	8842	109	-145	46	8842	109	-145	46	8842	109	-145	46	8842	109	-145	46	8842	109	-145	46	8842	109	-145	46	8842	109	-145	46	8842	109	-145	46	8842	109	-145	46	8842	109	-145	46	8842
110	-144	45	8887	110	-144	45	8887	110	-144	45	8887	110	-144	45	8887	110	-144	45	8887	110	-144	45	8887	110	-144	45	8887	110	-144	45	8887	110	-144	45	8887	110	-144	45	8887	110	-144	45	8887	110	-144	45	8887	110	-144	45	8887	110	-144	45	8887	110	-144	45	8887	110	-144	45	8887
111	-126	27	8914	111	-126	27	8914	111	-126	27	8914	111	-126	27	8914	111	-126	27	8914	111	-126	27	8914	111	-126	27	8914	111	-126	27	8914	111	-126	27	8914	111	-126	27	8914	111	-126	27	8914	111	-126	27	8914	111	-126	27	8914	111	-126	27	8914	111	-126	27	8914	111	-126	27	8914
112	-22	22	8936	112	-22	22	8936	112	-22	22	8936	112	-22	22	8936	112	-22	22	8936	112	-22	22	8936	112	-22	22	8936	112	-22	22	8936	112	-22	22	8936	112	-22	22	8936	112	-22	22	8936	112	-22	22	8936	112	-22	22	8936	112	-22	22	8936	112	-22	22	8936	112	-22	22	8936
113	-24	24	8960	113	-24	24	8960	113	-24	24	8960	113	-24	24	8960	113	-24	24	8960	113	-24	24	8960	113	-24	24	8960	113	-24	24	8960	113	-24	24	8960	113	-24	24	8960	113	-24	24	8960	113	-24	24	8960	113	-24	24	8960	113	-24	24	8960	113	-24	24	8960	113	-24	24	8960
114	-141	42	9002	114	-141	42	9002	114	-141	42	9002	114	-141	42	9002	114	-141	42	9002	114	-141	42	9002	114	-141	42	9002	114	-141	42	9002	114	-141	42	9002	114	-141	42	9002	114	-141	42	9002	114	-141	42	9002	114	-141	42	9002	114	-141	42	9002	114	-141	42	9002	114	-141	42	9002
115	-37	37	9039	115	-37	37	9039	115	-37	37	9039	115	-37	37	9039	115	-37	37	9039	115	-37	37	9039	115	-37	37	9039	115	-37	37	9039	115	-37	37	9039	115	-37	37	9039	115	-37	37	9039	115	-37	37	9039	115	-37	37	9039	115	-37	37	9039	115	-37	37	9039	115	-37	37	9039
116	-33	33	9072	116	-33	33	9072	116	-33	33	9072	116	-33	33	9072	116	-33	33	9072	116	-33	33	9072	116	-33	33	9072	116	-33	33	9072	116	-33	33	9072	116	-33	33	9072	116	-33	33	9072	116	-33	33	9072	116	-33	33	9072	116	-33	33	9072	116	-33	33	9072	116	-33	33	9072
117	-40	40	9112	117	-40	40	9112	117	-40	40	9112	117	-40	40	9112	117	-40	40	9112	117	-40	40	9112	117	-40	40	9112	117	-40	40	9112	117	-40	40	9112	117	-40	40	9112	117	-40	40	9112	117	-40	40	9112	117	-40	40	9112	117	-40	40	9112	117	-40	40	9112	117	-40	40	9112
118	-29	29	9141	118	-29	29	9141	118	-29	29	9141	118	-29	29	9141	118	-29	29	9141	118	-29	29	9141	118	-29	29	9141	118	-29	29	9141	118	-29	29	9141	118	-29	29	9141	118	-29	29	9141	118	-29	29	9141	118	-29	29	9141	118	-29	29	9141	118	-29	29	9141	118	-29	29	9141
119	-26	26	9167	119	-26	26	9167	119	-26	26	9167	119	-26	26	9167	119	-26	26	9167	119	-26	26	9167	119	-26	26	9167	119	-26	26	9167	119	-26	26	9167	119	-26	26	9167	119	-26	26	9167	119	-26	26	9167	119	-26	26	9167	119	-26	26	9167	119	-26	26	9167	119	-26	26	9167
120	-39	39	9206	120	-39	39	9206	120	-39	39	9206	120	-39	39	9206	120	-39	39	9206	120	-39	39	9206	120	-39	39	9206	120	-39	39	9206	120	-39	39	9206	120	-39	39	9206	120	-39	39	9206	120	-39	39	9206	120	-39	39	9206	120	-39	39	9206	120	-39	39	9206	120	-39	39	9206
121	-17	17	9223	121	-17	17	9223	121	-17	17	9223	121	-17	17	9223	121	-17	17	9223	121	-17	17	9223	121	-17	17	9223	121	-17	17	9223	121	-17	17	9223	121	-17	17	9223	121	-17	17	9223	121	-17	17	9223	121	-17	17	9223	121	-17	17	9223	121	-17	17	9223	121	-17	17	9223
122	-23	23	9246	122	-23	23	9246	122	-23	23	9246	122	-23	23	9246	122	-23	23	9246	122	-23	23	9246	122	-23	23	9246	122	-23	23	9246	122	-23	23	9246	122	-23	23	9246	122	-23	23	9246	122	-23	23	9246	122	-23	23	9246	122	-23	23	9246	122	-23	23	9246	122	-23	23	9246
123	-27	27	9273	123	-27	27	9273	123	-27	27	9273	123	-27	27	9273	123	-27	27	9273	123	-27	27	9273	123	-27	27	9273	123	-27	27	9273	123	-27	27	9273	123	-27	27	9273	123	-27	27	9273	123	-27	27	9273	123	-27	27	9273	123	-27	27	9273	123	-27	27	9273	123	-27	27	9273
124	-34	34	9307	124	-34	34	9307	124	-34	34	9307	124	-34	34	9307	124	-34	34	9307	124	-34	34	9307	124	-34	34	9307	124	-34	34	9307	124	-34	34	9307	124	-34	34	9307	124	-34	34	9307	124	-34	34	9307	124	-34	34	9307	124	-34	34	9307	124	-34	34	9307	124	-34	34	9307
125	-31	31	9338	125	-31	31	9338	125	-31	31	9338	125	-31	31	9338	125	-31	31	9338	125	-31	31	9338	125	-31	31	9338	125	-31	31	9338	125	-31	31	9338	125	-31	31	9338	125	-31	31	9338	125	-31	31	9338	125	-31	31	9338	125	-31	31	9338	125	-31	31	9338	125	-31	31	9338
126	-34	34	9372	126	-34	34	9372	126	-34	34	9372	126	-34	34	9372	126	-34	34	9372	126	-34	34	9372	126	-34	34	9372	126	-34	34	9372	126	-34	34	9372	126	-34	34	9372	126	-34	34	9372	126	-34	34	9372	126	-34	34	9372	126	-34	34	9372	126	-34	34	9372	126	-34	34	9372
127	-28	28	9400	127	-28	28	9400	127	-28	28	9400	127	-28	28	9400	127	-28	28	9400	127	-28	28	9400	127	-28	28	9400	127	-28	28	9400	127	-28	28	9400	127	-28	28	9400	127	-28	28	9400	127	-28	28	9400	127	-28	28	9400	127	-28	28	9400	127	-28	28	9400	127	-28	28	9400
128	-152	53	9453	128	-152	53	9453	128	-152	53	9453	128	-152	53	9453	128	-152	53	9453	128	-152	53	9453	128	-152	53	9453	128	-152	53	9453	128	-152	53	9453	128	-152	53	9453	128	-152	53	9453	128	-152	53	9453	128	-152	53	9453	128	-152	53	9453	128	-152	53	9453	128	-152	53	9453
129	-145	46	9499	129	-145	46	9499	129	-145	46	9499	129	-145	46	9499	129	-145	46	9499	129	-145	46	9499	129	-145	46	9499	129	-145	46	9499	129	-145	46	9499	129	-145	46	9499	129	-145	46	9499	129	-145	46	9499	129	-145	46	9499	129	-145	46	9499	129	-145	46	9499	129	-145	46	9499
130	-33	33	9532	130	-33	33	9532	130	-33	33	9532	130	-33	33	9532	130	-33	33	9532	130	-33	33	9532	130	-33	33	9532	130	-33	33	9532	130	-33	33	9532	130	-33	33	9532	130	-33	33	9532	130	-33	33	9532	130	-33	33	9532	130	-33	33	9532	130	-33	33	9532	130	-33	33	9532
131	-33	33	9565	131	-33	33	9565	131	-33	33	9565	131	-33	33	9565	131	-33	33	9565	131	-33	33	9565	131	-33	33	9565	131	-33	33	9565	131	-33	33	9565	131	-33	33	9565	131	-33	33	9565	131	-33	33	9565	131	-33	33	9565	131	-33	33	9565	131	-33	33	9565	131	-33	33	9565
132	-20	20	9585	132	-20	20	9585	132	-20	20	9585	132	-20	20	9585	132	-20	20	9585	132	-20	20	9585	132	-20	20	9585	132	-20	20	9585	132	-20	20	9585	132	-20	20	9585	132	-20	20	9585	132	-20	20	9585	132	-20	20	9585	132	-20	20	9585	132	-20	20	9585	132	-20	20	9585
133	-43	43	9628	133	-43	43	9628	133	-43	43	9628	133	-43	43	9628	133	-43	43	9628	133	-43	43	9628	133	-43	43	9628	133	-43	43	9628	133	-43	43	9628	133	-43	43	9628	133	-43	43	9628	133	-43	43	9628	133	-43	43	9628	133	-43	43	9628	133	-43	43	9628	133	-43	43	9628
134	-39	39	9667	134	-39	39	9667	134	-39	39	9667	134	-39	39	9667	134	-39	39	9667	134	-39	39	9667	134	-39	39	9667	134	-39	39	9667	134	-39	39	9667	134	-39	39	9667	134	-39	39	9667	134	-39	39	9667	134	-39	39	9667	134	-39	39	9667	134	-39	39	9667	134	-39	39	9667
135	-15	15	9682	135	-15	15	9682	135	-15	15	9682	135	-15	15	9682	135	-15	15	9682	135	-15	15	9682	135	-15	15	9682	135	-15	15	9682	135	-15	15	9682	135	-15	15	9682	135	-15	15	9682	135	-15	15	9682	135	-15	15	9682	135	-15	15	9682	135	-15	15	9682	135	-15	15	9682
136	-25	25	9707	136	-25	25	9707	136	-25	25	9707	136	-25	25	9707	136	-25	25	9707	136	-25	25	9707	136	-25	25	9707	136	-25	25	9707	136	-25	25	9707	136	-25	25	9707	136	-25	25	9707	136	-25	25	9707	136	-25	25	9707	136	-25	25	9707	136	-25	25	9707	136	-25	25	9707
137	-29	29	9736	137	-29	29	9736	137	-29	29	9736	137	-29	29	9736	137	-29	29	9736	137	-29	29	9736	137	-29	29	9736	137	-29	29	9736	137	-29	29	9736	137	-29	29	9736	137	-29	29	9736	137	-29	29	9736	137	-29	29	9736	137	-29	29	9736	137	-29	29	9736	137	-29	29	9736
138	-27	27	9763	138	-27	27	9763	138	-27	27	9763	138	-27	27	9763	138	-27	27	9763	138	-27	27	9763	138	-27	27	9763	138	-27	27	9763	138	-27	27	9763	138	-27	27	9763	138	-27	27	9763	138	-27	27	9763	138	-27	27	9763	138	-27	27	9763	138	-27	27	9763	138	-27	27	9763
139	-21	21	9784	139	-21	21	9784	139	-21	21	9784	139	-21	21	9784	139	-21	21	9784	139	-21	21	9784	139	-21	21	9784	139	-21	21	9784	139	-21	21	9784	139	-21	21	9784	139	-21	21	9784	139	-21	21	9784	139	-21	21	9784	139	-21	21	9784	139	-21	21	9784	139	-21	21	9784
140	-30	30	9814	140	-30	30	9814	140	-30	30	9814	140	-30	30	9814	140	-30	30	9814	140	-30	30	9814	140	-30	30	9814	140	-30	30	9814	140	-30	30	9814	140	-30	30	9814	140	-30	30	9814	140	-30	30	9814	140	-30	30	9814	140	-30	30	9814	140	-30	30	9814	140	-30	30	9814
141	-46	46	9860	141	-46	46	9860	141	-46	46	9860	141	-46	46	9860	141	-46	46	9860	141	-46	46	9860	141	-46	46	9860	141	-46	46	9860	141	-46	46	9860	141	-46	46	9860	141	-46	46	9860	141	-46	46	9860	141	-46	46	9860	141	-46	46	9860	141	-46	46	9860	141	-46	46	9860
142	-25	25	9885	142	-25	25	9885	142	-25	25	9885	142	-25	25	9885	142	-25	25	9885	142	-25	25	9885	142	-25	25	9885	142	-25	25	9885	142	-25	25	9885	142	-25	25	9885	142	-25	25	9885	142	-25	25	9885	142	-25	25	9885	142	-25	25	9885	142	-25	25	9885	142	-25	25	9885
143	-128	29	9914	143	-128	29	9914	143	-128	29	9914	143	-128	29	9914	143	-128	29	9914	143	-128	29	9914	143	-128	29	9914	143	-128	29	9914	143	-128	29	9914	143	-128	29	9914	143	-128	29	9914	143	-128	29	9914	143	-128	29	9914	143	-128	29	9914	143	-128	29	9914	143	-128	29	9914
144	-21	21	9935	144	-21	21	9935	144	-21	21	9935	144	-21	21	9935	144	-21	21	9935	144	-21	21	9935	144	-21	21	9935	144	-21	21	9935	144	-21	21	9935	144	-21	21	9935	144	-21	21	9935	144	-21	21	9935	144	-21	21	9935	144	-21	21	9935	144	-21	21	9935	144	-21	21	9935
145	-132	33	9968	145	-132	33	9968	145	-132	33	9968	145	-132	33	9968	145	-132	33	9968	145	-132	33	9968	145	-132	33	9968	145	-132	33	9968	145	-132	33	9968	145	-132	33	9968	145	-132	33	9968	145	-132	33	9968	145	-132	33	9968	145	-132	33	9968	145	-132	33	9968	145	-132	33	9968
146	-17	17	9985	146	-17	17	9985	146	-17	17	9985	146	-17	17	9985	146	-17	17	9985	146	-17	17	9985	146	-17	17	9985	146	-17	17	9985	146	-17	17	9985	146	-17	17	9985	146	-17	17	9985	146	-17	17	9985	146	-17	17	9985	146	-17	17	9985	146	-17	17	9985	146	-17	17	9985
147	-144	45	10030	147	-144	45	10030	147	-144	45	10030	147	-144	45	10030	147	-144	45	10030	147	-144	45	10030	147	-144	45	10030	147	-144	45	10030	147	-144	45	10030	147	-144	45	10030	147	-144	45	10030	147	-144	45	10030	147	-144	45	10030	147	-144	45	10030	147	-144	45	10030	147	-144	45	10030
148	-20	20	10050	148	-20	20	10050	148	-20	20	10050	148	-20	20	10050	148	-20	20	10050	148	-20	20	10050	148	-20	20	10050	148	-20	20	10050	148	-20	20	10050	148	-20	20	10050	148	-20	20	10050	148	-20	20	10050	148	-20	20	10050	148	-20	20	10050	148	-20	20	10050	148	-20	20	10050
149	-22	22	10072	149	-22	22	10072	149	-22	22	10072	149	-22	22	10072	149	-22	22	10072	149	-22	22	10072	149	-22	22	10072	149	-22	22	10072	149	-22	22	10072	149	-22	22	10072	149	-22	22	10072	149	-22	22	10072	149	-22	22	10072	149	-22	22	10072	149	-22	22	10072	149	-22	22	10072
150	-36	36	10108	150	-36	36	10108	150	-36	36	10108	150	-36	36	10108	150	-36	36	10108	150	-36	36	10108	150	-36	36	10108	150	-36	36	10108	150	-36	36	10108	150	-36	36	10108	150	-36	36	10108	150	-36	36	10108	150	-36	36	10108	150	-36	36	10108	150	-36	36	10108	150	-36	36	10108
151	-38	38	10146	151	-38	38	10146	151	-38	38	10146	151	-38	38	10146	151	-38	38	10146	151	-38	38	10146	151	-38	38	10146	151	-38	38	10146	151	-38	38	10146	151	-38	38	10146	151	-38	38	10146	151	-38	38	10146	151	-38	38	10146	151	-38	38	10146	151	-38	38	10146	151	-38	38	10146
152	-134	35	10181	152	-134	35	10181	152	-134	35	10181	152	-134	35	10181	152	-134	35	10181	152	-134	35	10181	152	-134	35	10181	152	-134	35	10181	152	-134	35	10181	152	-134	35	10181	152	-134	35	10181	152	-134	35	10181	152	-134	35	10181	152	-134	35	10181	152	-134	35	10181	152	-134	35	10181
153	-21	21	10202	153	-21	21	10202	153	-21	21	10202	153	-21	21	10202	153	-21	21	10202	153	-21	21	10202	153	-21	21	10202	153	-21	21	10202	153	-21	21	10202	153	-21	21	10202	153	-21	21	10202	153	-21	21	10202	153	-21	21	10202	153	-21	21	10202	153	-21	21	10202	153	-21	21	10202
154	-124	25	10227	154	-124	25	10227	154	-124	25	10227	154	-124	25	10227	154	-124	25	10227	154	-124	25	10227	154	-124	25	10227	154	-124	25	10227	154	-124	25	10227	154	-124	25	10227	154	-124	25	10227	154	-124	25	10227	154	-124	25	10227	154	-124	25	10227	154	-124	25	10227	154	-124	25	10227
155	-231	33	10260	155	-231	33	10260	155	-231	33	10260	155	-231	33	10260	155	-231	33	10260	155	-231	33	10260	155	-231	33	10260	155	-231	33	10260	155	-231	33	10260	155	-231	33	10260	155	-231	33	10260	155	-231	33	10260	155	-231	33	10260	155	-231	33	10260	155	-231	33	10260	155	-231	33	10260
156	-40	40	10300	156	-40	40	10300	156	-40	40	10300	156	-40	40	10300	156	-40	40	10300	156	-40	40	10300	156	-40	40	10300	156	-40	40	10300	156	-40	40	10300	156	-40	40	10300	156	-40	40	10300	156	-40	40	10300	156	-40	40	10300	156	-40	40	10300	156	-40	40	10300	156	-40	40	10300
157	-38	38	10338	157	-38	38	10338	157	-38	38	10338	157	-38	38	10338	157	-38	38	10338	157	-38	38	10338	157	-38	38	10338	157	-38	38	10338	157	-38	38	10338	157	-38	38	10338	157	-38	38	10338	157	-38	38	10338	157	-38	38	10338	157	-38	38	10338	157	-38	38	10338	157	-38	38	10338
158	-23	23	10361	158	-23	23	10361	158	-23	23	10361	158	-23	23	10361	158	-23	23	10361	158	-23	23	10361	158	-23	23	10361	158	-23	23	10361	158	-23	23	10361	158	-23	23	10361	158	-23	23	10361	158	-23	23	10361	158	-23	23	10361	158	-23	23	10361	158	-23	23	10361	158	-23	23	10361
