Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
33	-15	15	612	33	-15	15	612	33	-15	15	612	33	-15	15	612	33	-15	15	612	33	-15	15	612	33	-15	15	612	33	-15	15	612	33	-15	15	612	33	-15	15	612
34	-19	19	631	34	-19	19	631	34	-19	19	631	34	-19	19	631	34	-19	19	631	34	-19	19	631	34	-19	19	631	34	-19	19	631	34	-19	19	631	34	-19	19	631
35	-17	17	648	35	-17	17	648	35	-17	17	648	35	-17	17	648	35	-17	17	648	35	-17	17	648	35	-17	17	648	35	-17	17	648	35	-17	17	648	35	-17	17	648
36	-17	17	665	36	-17	17	665	36	-17	17	665	36	-17	17	665	36	-17	17	665	36	-17	17	665	36	-17	17	665	36	-17	17	665	36	-17	17	665	36	-17	17	665
37	-125	26	691	37	-125	26	691	37	-125	26	691	37	-125	26	691	37	-125	26	691	37	-125	26	691	37	-125	26	691	37	-125	26	691	37	-125	26	691	37	-125	26	691
38	-26	26	717	38	-26	26	717	38	-26	26	717	38	-26	26	717	38	-26	26	717	38	-26	26	717	38	-26	26	717	38	-26	26	717	38	-26	26	717	38	-26	26	717
39	-15	15	732	39	-15	15	732	39	-15	15	732	39	-15	15	732	39	-15	15	732	39	-15	15	732	39	-15	15	732	39	-15	15	732	39	-15	15	732	39	-15	15	732
40	-17	17	749	40	-17	17	749	40	-17	17	749	40	-17	17	749	40	-17	17	749	40	-17	17	749	40	-17	17	749	40	-17	17	749	40	-17	17	749	40	-17	17	749
41	-18	18	767	41	-18	18	767	41	-18	18	767	41	-18	18	767	41	-18	18	767	41	-18	18	767	41	-18	18	767	41	-18	18	767	41	-18	18	767	41	-18	18	767
42	-17	17	784	42	-17	17	784	42	-17	17	784	42	-17	17	784	42	-17	17	784	42	-17	17	784	42	-17	17	784	42	-17	17	784	42	-17	17	784	42	-17	17	784
43	-18	18	802	43	-18	18	802	43	-18	18	802	43	-18	18	802	43	-18	18	802	43	-18	18	802	43	-18	18	802	43	-18	18	802	43	-18	18	802	43	-18	18	802
44	-19	19	821	44	-19	19	821	44	-19	19	821	44	-19	19	821	44	-19	19	821	44	-19	19	821	44	-19	19	821	44	-19	19	821	44	-19	19	821	44	-19	19	821
45	-19	19	840	45	-19	19	840	45	-19	19	840	45	-19	19	840	45	-19	19	840	45	-19	19	840	45	-19	19	840	45	-19	19	840	45	-19	19	840	45	-19	19	840
46	-21	21	861	46	-21	21	861	46	-21	21	861	46	-21	21	861	46	-21	21	861	46	-21	21	861	46	-21	21	861	46	-21	21	861	46	-21	21	861	46	-21	21	861
47	-17	17	878	47	-17	17	878	47	-17	17	878	47	-17	17	878	47	-17	17	878	47	-17	17	878	47	-17	17	878	47	-17	17	878	47	-17	17	878	47	-17	17	878
48	-20	20	898	48	-20	20	898	48	-20	20	898	48	-20	20	898	48	-20	20	898	48	-20	20	898	48	-20	20	898	48	-20	20	898	48	-20	20	898	48	-20	20	898
49	-21	21	919	49	-21	21	919	49	-21	21	919	49	-21	21	919	49	-21	21	919	49	-21	21	919	49	-21	21	919	49	-21	21	919	49	-21	21	919	49	-21	21	919
50	-121	22	941	50	-121	22	941	50	-121	22	941	50	-121	22	941	50	-121	22	941	50	-121	22	941	50	-121	22	941	50	-121	22	941	50	-121	22	941	50	-121	22	941
51	-22	22	963	51	-22	22	963	51	-22	22	963	51	-22	22	963	51	-22	22	963	51	-22	22	963	51	-22	22	963	51	-22	22	963	51	-22	22	963	51	-22	22	963
52	-19	19	982	52	-19	19	982	52	-19	19	982	52	-19	19	982	52	-19	19	982	52	-19	19	982	52	-19	19	982	52	-19	19	982	52	-19	19	982	52	-19	19	982
53	-17	17	999	53	-17	17	999	53	-17	17	999	53	-17	17	999	53	-17	17	999	53	-17	17	999	53	-17	17	999	53	-17	17	999	53	-17	17	999	53	-17	17	999
54	-18	18	1017	54	-18	18	1017	54	-18	18	1017	54	-18	18	1017	54	-18	18	1017	54	-18	18	1017	54	-18	18	1017	54	-18	18	1017	54	-18	18	1017	54	-18	18	1017
55	-18	18	1035	55	-18	18	1035	55	-18	18	1035	55	-18	18	1035	55	-18	18	1035	55	-18	18	1035	55	-18	18	1035	55	-18	18	1035	55	-18	18	1035	55	-18	18	1035
56	-20	20	1055	56	-20	20	1055	56	-20	20	1055	56	-20	20	1055	56	-20	20	1055	56	-20	20	1055	56	-20	20	1055	56	-20	20	1055	56	-20	20	1055	56	-20	20	1055
57	-17	17	1072	57	-17	17	1072	57	-17	17	1072	57	-17	17	1072	57	-17	17	1072	57	-17	17	1072	57	-17	17	1072	57	-17	17	1072	57	-17	17	1072	57	-17	17	1072
58	-22	22	1094	58	-22	22	1094	58	-22	22	1094	58	-22	22	1094	58	-22	22	1094	58	-22	22	1094	58	-22	22	1094	58	-22	22	1094	58	-22	22	1094	58	-22	22	1094
59	-17	17	1111	59	-17	17	1111	59	-17	17	1111	59	-17	17	1111	59	-17	17	1111	59	-17	17	1111	59	-17	17	1111	59	-17	17	1111	59	-17	17	1111	59	-17	17	1111
60	-17	17	1128	60	-17	17	1128	60	-17	17	1128	60	-17	17	1128	60	-17	17	1128	60	-17	17	1128	60	-17	17	1128	60	-17	17	1128	60	-17	17	1128	60	-17	17	1128
61	-117	18	1146	61	-117	18	1146	61	-117	18	1146	61	-117	18	1146	61	-117	18	1146	61	-117	18	1146	61	-117	18	1146	61	-117	18	1146	61	-117	18	1146	61	-117	18	1146
62	-20	20	1166	62	-20	20	1166	62	-20	20	1166	62	-20	20	1166	62	-20	20	1166	62	-20	20	1166	62	-20	20	1166	62	-20	20	1166	62	-20	20	1166	62	-20	20	1166
63	-23	23	1189	63	-23	23	1189	63	-23	23	1189	63	-23	23	1189	63	-23	23	1189	63	-23	23	1189	63	-23	23	1189	63	-23	23	1189	63	-23	23	1189	63	-23	23	1189
64	-17	17	1206	64	-17	17	1206	64	-17	17	1206	64	-17	17	1206	64	-17	17	1206	64	-17	17	1206	64	-17	17	1206	64	-17	17	1206	64	-17	17	1206	64	-17	17	1206
65	-17	17	1223	65	-17	17	1223	65	-17	17	1223	65	-17	17	1223	65	-17	17	1223	65	-17	17	1223	65	-17	17	1223	65	-17	17	1223	65	-17	17	1223	65	-17	17	1223
66	-21	21	1244	66	-21	21	1244	66	-21	21	1244	66	-21	21	1244	66	-21	21	1244	66	-21	21	1244	66	-21	21	1244	66	-21	21	1244	66	-21	21	1244	66	-21	21	1244
67	-18	18	1262	67	-18	18	1262	67	-18	18	1262	67	-18	18	1262	67	-18	18	1262	67	-18	18	1262	67	-18	18	1262	67	-18	18	1262	67	-18	18	1262	67	-18	18	1262
68	-19	19	1281	68	-19	19	1281	68	-19	19	1281	68	-19	19	1281	68	-19	19	1281	68	-19	19	1281	68	-19	19	1281	68	-19	19	1281	68	-19	19	1281	68	-19	19	1281
69	-22	22	1303	69	-22	22	1303	69	-22	22	1303	69	-22	22	1303	69	-22	22	1303	69	-22	22	1303	69	-22	22	1303	69	-22	22	1303	69	-22	22	1303	69	-22	22	1303
70	-20	20	1323	70	-20	20	1323	70	-20	20	1323	70	-20	20	1323	70	-20	20	1323	70	-20	20	1323	70	-20	20	1323	70	-20	20	1323	70	-20	20	1323	70	-20	20	1323
71	-18	18	1341	71	-18	18	1341	71	-18	18	1341	71	-18	18	1341	71	-18	18	1341	71	-18	18	1341	71	-18	18	1341	71	-18	18	1341	71	-18	18	1341	71	-18	18	1341
72	-17	17	1358	72	-17	17	1358	72	-17	17	1358	72	-17	17	1358	72	-17	17	1358	72	-17	17	1358	72	-17	17	1358	72	-17	17	1358	72	-17	17	1358	72	-17	17	1358
73	-25	25	1383	73	-25	25	1383	73	-25	25	1383	73	-25	25	1383	73	-25	25	1383	73	-25	25	1383	73	-25	25	1383	73	-25	25	1383	73	-25	25	1383	73	-25	25	1383
74	-18	18	1401	74	-18	18	1401	74	-18	18	1401	74	-18	18	1401	74	-18	18	1401	74	-18	18	1401	74	-18	18	1401	74	-18	18	1401	74	-18	18	1401	74	-18	18	1401
75	-17	17	1418	75	-17	17	1418	75	-17	17	1418	75	-17	17	1418	75	-17	17	1418	75	-17	17	1418	75	-17	17	1418	75	-17	17	1418	75	-17	17	1418	75	-17	17	1418
76	-19	19	1437	76	-19	19	1437	76	-19	19	1437	76	-19	19	1437	76	-19	19	1437	76	-19	19	1437	76	-19	19	1437	76	-19	19	1437	76	-19	19	1437	76	-19	19	1437
77	-119	20	1457	77	-119	20	1457	77	-119	20	1457	77	-119	20	1457	77	-119	20	1457	77	-119	20	1457	77	-119	20	1457	77	-119	20	1457	77	-119	20	1457	77	-119	20	1457
78	-20	20	1477	78	-20	20	1477	78	-20	20	1477	78	-20	20	1477	78	-20	20	1477	78	-20	20	1477	78	-20	20	1477	78	-20	20	1477	78	-20	20	1477	78	-20	20	1477
79	-19	19	1496	79	-19	19	1496	79	-19	19	1496	79	-19	19	1496	79	-19	19	1496	79	-19	19	1496	79	-19	19	1496	79	-19	19	1496	79	-19	19	1496	79	-19	19	1496
80	-25	25	1521	80	-25	25	1521	80	-25	25	1521	80	-25	25	1521	80	-25	25	1521	80	-25	25	1521	80	-25	25	1521	80	-25	25	1521	80	-25	25	1521	80	-25	25	1521
81	-20	20	1541	81	-20	20	1541	81	-20	20	1541	81	-20	20	1541	81	-20	20	1541	81	-20	20	1541	81	-20	20	1541	81	-20	20	1541	81	-20	20	1541	81	-20	20	1541
82	-17	17	1558	82	-17	17	1558	82	-17	17	1558	82	-17	17	1558	82	-17	17	1558	82	-17	17	1558	82	-17	17	1558	82	-17	17	1558	82	-17	17	1558	82	-17	17	1558
83	-18	18	1576	83	-18	18	1576	83	-18	18	1576	83	-18	18	1576	83	-18	18	1576	83	-18	18	1576	83	-18	18	1576	83	-18	18	1576	83	-18	18	1576	83	-18	18	1576
84	-20	20	1596	84	-20	20	1596	84	-20	20	1596	84	-20	20	1596	84	-20	20	1596	84	-20	20	1596	84	-20	20	1596	84	-20	20	1596	84	-20	20	1596	84	-20	20	1596
85	-18	18	1614	85	-18	18	1614	85	-18	18	1614	85	-18	18	1614	85	-18	18	1614	85	-18	18	1614	85	-18	18	1614	85	-18	18	1614	85	-18	18	1614	85	-18	18	1614
86	-23	23	1637	86	-23	23	1637	86	-23	23	1637	86	-23	23	1637	86	-23	23	1637	86	-23	23	1637	86	-23	23	1637	86	-23	23	1637	86	-23	23	1637	86	-23	23	1637
87	-19	19	1656	87	-19	19	1656	87	-19	19	1656	87	-19	19	1656	87	-19	19	1656	87	-19	19	1656	87	-19	19	1656	87	-19	19	1656	87	-19	19	1656	87	-19	19	1656
88	-17	17	1673	88	-17	17	1673	88	-17	17	1673	88	-17	17	1673	88	-17	17	1673	88	-17	17	1673	88	-17	17	1673	88	-17	17	1673	88	-17	17	1673	88	-17	17	1673
89	-21	21	1694	89	-21	21	1694	89	-21	21	1694	89	-21	21	1694	89	-21	21	1694	89	-21	21	1694	89	-21	21	1694	89	-21	21	1694	89	-21	21	1694	89	-21	21	1694
90	-19	19	1713	90	-19	19	1713	90	-19	19	1713	90	-19	19	1713	90	-19	19	1713	90	-19	19	1713	90	-19	19	1713	90	-19	19	1713	90	-19	19	1713	90	-19	19	1713
91	-21	21	1734	91	-21	21	1734	91	-21	21	1734	91	-21	21	1734	91	-21	21	1734	91	-21	21	1734	91	-21	21	1734	91	-21	21	1734	91	-21	21	1734	91	-21	21	1734
92	-18	18	1752	92	-18	18	1752	92	-18	18	1752	92	-18	18	1752	92	-18	18	1752	92	-18	18	1752	92	-18	18	1752	92	-18	18	1752	92	-18	18	1752	92	-18	18	1752
93	-21	21	1773	93	-21	21	1773	93	-21	21	1773	93	-21	21	1773	93	-21	21	1773	93	-21	21	1773	93	-21	21	1773	93	-21	21	1773	93	-21	21	1773	93	-21	21	1773
94	-22	22	1795	94	-22	22	1795	94	-22	22	1795	94	-22	22	1795	94	-22	22	1795	94	-22	22	1795	94	-22	22	1795	94	-22	22	1795	94	-22	22	1795	94	-22	22	1795
95	-21	21	1816	95	-21	21	1816	95	-21	21	1816	95	-21	21	1816	95	-21	21	1816	95	-21	21	1816	95	-21	21	1816	95	-21	21	1816	95	-21	21	1816	95	-21	21	1816
96	-18	18	1834	96	-18	18	1834	96	-18	18	1834	96	-18	18	1834	96	-18	18	1834	96	-18	18	1834	96	-18	18	1834	96	-18	18	1834	96	-18	18	1834	96	-18	18	1834
97	-21	21	1855	97	-21	21	1855	97	-21	21	1855	97	-21	21	1855	97	-21	21	1855	97	-21	21	1855	97	-21	21	1855	97	-21	21	1855	97	-21	21	1855	97	-21	21	1855
98	-23	23	1878	98	-23	23	1878	98	-23	23	1878	98	-23	23	1878	98	-23	23	1878	98	-23	23	1878	98	-23	23	1878	98	-23	23	1878	98	-23	23	1878	98	-23	23	1878
99	-17	17	1895	99	-17	17	1895	99	-17	17	1895	99	-17	17	1895	99	-17	17	1895	99	-17	17	1895	99	-17	17	1895	99	-17	17	1895	99	-17	17	1895	99	-17	17	1895
100	-18	18	1913	100	-18	18	1913	100	-18	18	1913	100	-18	18	1913	100	-18	18	1913	100	-18	18	1913	100	-18	18	1913	100	-18	18	1913	100	-18	18	1913	100	-18	18	1913
101	-22	22	1935	101	-22	22	1935	101	-22	22	1935	101	-22	22	1935	101	-22	22	1935	101	-22	22	1935	101	-22	22	1935	101	-22	22	1935	101	-22	22	1935	101	-22	22	1935
102	-17	17	1952	102	-17	17	1952	102	-17	17	1952	102	-17	17	1952	102	-17	17	1952	102	-17	17	1952	102	-17	17	1952	102	-17	17	1952	102	-17	17	1952	102	-17	17	1952
103	-17	17	1969	103	-17	17	1969	103	-17	17	1969	103	-17	17	1969	103	-17	17	1969	103	-17	17	1969	103	-17	17	1969	103	-17	17	1969	103	-17	17	1969	103	-17	17	1969
104	-19	19	1988	104	-19	19	1988	104	-19	19	1988	104	-19	19	1988	104	-19	19	1988	104	-19	19	1988	104	-19	19	1988	104	-19	19	1988	104	-19	19	1988	104	-19	19	1988
105	-20	20	2008	105	-20	20	2008	105	-20	20	2008	105	-20	20	2008	105	-20	20	2008	105	-20	20	2008	105	-20	20	2008	105	-20	20	2008	105	-20	20	2008	105	-20	20	2008
