Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
131	-147.0	147	22440	131	-147.0	147	22440
132	-106.0	106	22546	132	-106.0	106	22546
133	-142.0	142	22688	133	-142.0	142	22688
134	-143.0	143	22831	134	-143.0	143	22831
135	-146.0	146	22977	135	-146.0	146	22977
136	-144.0	144	23121	136	-144.0	144	23121
137	-107.0	107	23228	137	-107.0	107	23228
138	-144.0	144	23372	138	-144.0	144	23372
139	-110.0	110	23482	139	-110.0	110	23482
140	-148.0	148	23630	140	-148.0	148	23630
141	-141.0	141	23771	141	-141.0	141	23771
142	-140.0	140	23911	142	-140.0	140	23911
143	-107.0	107	24018	143	-107.0	107	24018
144	-149.0	149	24167	144	-149.0	149	24167
145	-117.0	117	24284	145	-117.0	117	24284
146	-106.0	106	24390	146	-106.0	106	24390
147	-147.0	147	24537	147	-147.0	147	24537
148	-143.0	143	24680	148	-143.0	143	24680
149	-105.0	105	24785	149	-105.0	105	24785
150	-109.0	109	24894	150	-109.0	109	24894
151	-111.0	111	25005	151	-111.0	111	25005
152	-136.0	136	25141	152	-136.0	136	25141
153	-134.0	134	25275	153	-134.0	134	25275
154	-147.0	147	25422	154	-147.0	147	25422
155	-135.0	135	25557	155	-135.0	135	25557
156	-117.0	117	25674	156	-117.0	117	25674
157	-105.0	105	25779	157	-105.0	105	25779
158	-203.0	203	25982	158	-203.0	203	25982
159	-176.0	176	26158	159	-176.0	176	26158
160	-113.0	113	26271	160	-113.0	113	26271
161	-137.0	137	26408	161	-137.0	137	26408
162	-134.0	134	26542	162	-134.0	134	26542
163	-192.0	192	26734	163	-192.0	192	26734
164	-147.0	147	26881	164	-147.0	147	26881
165	-136.0	136	27017	165	-136.0	136	27017
166	-142.0	142	27159	166	-142.0	142	27159
167	-139.0	139	27298	167	-139.0	139	27298
168	-138.0	138	27436	168	-138.0	138	27436
169	-120.0	120	27556	169	-120.0	120	27556
170	-159.0	159	27715	170	-159.0	159	27715
171	-115.0	115	27830	171	-115.0	115	27830
172	-89.0	89	27919	172	-89.0	89	27919
173	-110.0	110	28029	173	-110.0	110	28029
174	-88.0	88	28117	174	-88.0	88	28117
