Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
57	-21	21	1009	57	-21	21	1009	57	-21	21	1009	57	-21	21	1009	57	-21	21	1009	57	-21	21	1009
58	-125	26	1035	58	-125	26	1035	58	-125	26	1035	58	-125	26	1035	58	-125	26	1035	58	-125	26	1035
59	-17	17	1052	59	-17	17	1052	59	-17	17	1052	59	-17	17	1052	59	-17	17	1052	59	-17	17	1052
60	-27	27	1079	60	-27	27	1079	60	-27	27	1079	60	-27	27	1079	60	-27	27	1079	60	-27	27	1079
61	-19	19	1098	61	-19	19	1098	61	-19	19	1098	61	-19	19	1098	61	-19	19	1098	61	-19	19	1098
62	-17	17	1115	62	-17	17	1115	62	-17	17	1115	62	-17	17	1115	62	-17	17	1115	62	-17	17	1115
63	-22	22	1137	63	-22	22	1137	63	-22	22	1137	63	-22	22	1137	63	-22	22	1137	63	-22	22	1137
64	-19	19	1156	64	-19	19	1156	64	-19	19	1156	64	-19	19	1156	64	-19	19	1156	64	-19	19	1156
65	-19	19	1175	65	-19	19	1175	65	-19	19	1175	65	-19	19	1175	65	-19	19	1175	65	-19	19	1175
66	-19	19	1194	66	-19	19	1194	66	-19	19	1194	66	-19	19	1194	66	-19	19	1194	66	-19	19	1194
67	-23	23	1217	67	-23	23	1217	67	-23	23	1217	67	-23	23	1217	67	-23	23	1217	67	-23	23	1217
68	-19	19	1236	68	-19	19	1236	68	-19	19	1236	68	-19	19	1236	68	-19	19	1236	68	-19	19	1236
69	-20	20	1256	69	-20	20	1256	69	-20	20	1256	69	-20	20	1256	69	-20	20	1256	69	-20	20	1256
70	-19	19	1275	70	-19	19	1275	70	-19	19	1275	70	-19	19	1275	70	-19	19	1275	70	-19	19	1275
71	-19	19	1294	71	-19	19	1294	71	-19	19	1294	71	-19	19	1294	71	-19	19	1294	71	-19	19	1294
72	-17	17	1311	72	-17	17	1311	72	-17	17	1311	72	-17	17	1311	72	-17	17	1311	72	-17	17	1311
73	-19	19	1330	73	-19	19	1330	73	-19	19	1330	73	-19	19	1330	73	-19	19	1330	73	-19	19	1330
74	-19	19	1349	74	-19	19	1349	74	-19	19	1349	74	-19	19	1349	74	-19	19	1349	74	-19	19	1349
75	-18	18	1367	75	-18	18	1367	75	-18	18	1367	75	-18	18	1367	75	-18	18	1367	75	-18	18	1367
76	-19	19	1386	76	-19	19	1386	76	-19	19	1386	76	-19	19	1386	76	-19	19	1386	76	-19	19	1386
77	-21	21	1407	77	-21	21	1407	77	-21	21	1407	77	-21	21	1407	77	-21	21	1407	77	-21	21	1407
78	-18	18	1425	78	-18	18	1425	78	-18	18	1425	78	-18	18	1425	78	-18	18	1425	78	-18	18	1425
79	-15	15	1440	79	-15	15	1440	79	-15	15	1440	79	-15	15	1440	79	-15	15	1440	79	-15	15	1440
80	-16	16	1456	80	-16	16	1456	80	-16	16	1456	80	-16	16	1456	80	-16	16	1456	80	-16	16	1456
81	-17	17	1473	81	-17	17	1473	81	-17	17	1473	81	-17	17	1473	81	-17	17	1473	81	-17	17	1473
82	-17	17	1490	82	-17	17	1490	82	-17	17	1490	82	-17	17	1490	82	-17	17	1490	82	-17	17	1490
83	-17	17	1507	83	-17	17	1507	83	-17	17	1507	83	-17	17	1507	83	-17	17	1507	83	-17	17	1507
84	-19	19	1526	84	-19	19	1526	84	-19	19	1526	84	-19	19	1526	84	-19	19	1526	84	-19	19	1526
85	-15	15	1541	85	-15	15	1541	85	-15	15	1541	85	-15	15	1541	85	-15	15	1541	85	-15	15	1541
86	-16	16	1557	86	-16	16	1557	86	-16	16	1557	86	-16	16	1557	86	-16	16	1557	86	-16	16	1557
87	-15	15	1572	87	-15	15	1572	87	-15	15	1572	87	-15	15	1572	87	-15	15	1572	87	-15	15	1572
88	-23	23	1595	88	-23	23	1595	88	-23	23	1595	88	-23	23	1595	88	-23	23	1595	88	-23	23	1595
89	-15	15	1610	89	-15	15	1610	89	-15	15	1610	89	-15	15	1610	89	-15	15	1610	89	-15	15	1610
90	-17	17	1627	90	-17	17	1627	90	-17	17	1627	90	-17	17	1627	90	-17	17	1627	90	-17	17	1627
91	-17	17	1644	91	-17	17	1644	91	-17	17	1644	91	-17	17	1644	91	-17	17	1644	91	-17	17	1644
92	-15	15	1659	92	-15	15	1659	92	-15	15	1659	92	-15	15	1659	92	-15	15	1659	92	-15	15	1659
93	-23	23	1682	93	-23	23	1682	93	-23	23	1682	93	-23	23	1682	93	-23	23	1682	93	-23	23	1682
94	-19	19	1701	94	-19	19	1701	94	-19	19	1701	94	-19	19	1701	94	-19	19	1701	94	-19	19	1701
95	-17	17	1718	95	-17	17	1718	95	-17	17	1718	95	-17	17	1718	95	-17	17	1718	95	-17	17	1718
96	-18	18	1736	96	-18	18	1736	96	-18	18	1736	96	-18	18	1736	96	-18	18	1736	96	-18	18	1736
97	-15	15	1751	97	-15	15	1751	97	-15	15	1751	97	-15	15	1751	97	-15	15	1751	97	-15	15	1751
98	-117	18	1769	98	-117	18	1769	98	-117	18	1769	98	-117	18	1769	98	-117	18	1769	98	-117	18	1769
