Episode	Accumulated Reward	Length	Steps
0	-30	32	32
1	-44	46	78
2	-4	6	84
3	-7	9	93
4	-2	4	97
5	-84	86	183
6	-2	4	187
7	-2	4	191
8	-2	4	195
9	-2	4	199
10	-2	4	203
11	-2	4	207
12	-2	4	211
13	-2	4	215
14	-2	4	219
15	-2	4	223
16	-2	4	227
17	-2	4	231
18	-2	4	235
19	-4	6	241
20	-2	4	245
21	-2	4	249
22	-4	6	255
23	-4	6	261
24	-4	6	267
25	-2	4	271
26	-2	4	275
27	-2	4	279
28	-2	4	283
29	-2	4	287
30	-2	4	291
31	-2	4	295
32	-2	4	299
33	-2	4	303
34	-2	4	307
35	-2	4	311
36	-2	4	315
37	-2	4	319
38	-2	4	323
39	-2	4	327
40	-2	4	331
41	-35	37	368
42	-2	4	372
43	-4	6	378
44	-2	4	382
45	-2	4	386
46	-2	4	390
47	-2	4	394
48	-2	4	398
49	-2	4	402
50	-2	4	406
51	-2	4	410
52	-2	4	414
53	-4	6	420
54	-2	4	424
55	-2	4	428
56	-2	4	432
57	-2	4	436
58	-2	4	440
59	-2	4	444
60	-2	4	448
61	-2	4	452
62	-2	4	456
63	-2	4	460
64	-2	4	464
65	-2	4	468
66	-2	4	472
67	-2	4	476
68	-2	4	480
69	-2	4	484
70	-2	4	488
71	-4	6	494
72	-2	4	498
73	-2	4	502
74	-2	4	506
75	-2	4	510
76	-2	4	514
77	-2	4	518
78	-2	4	522
79	-2	4	526
80	-2	4	530
81	-2	4	534
82	-2	4	538
83	-2	4	542
84	-2	4	546
85	-2	4	550
86	-2	4	554
87	-2	4	558
88	-2	4	562
89	-4	6	568
90	-2	4	572
91	-2	4	576
92	-2	4	580
93	-2	4	584
94	-2	4	588
95	-2	4	592
96	-2	4	596
97	-2	4	600
98	-2	4	604
99	-2	4	608
100	-2	4	612
101	-2	4	616
102	-2	4	620
103	-2	4	624
104	-2	4	628
105	-2	4	632
106	-2	4	636
107	-2	4	640
108	-2	4	644
109	-2	4	648
110	-2	4	652
111	-4	6	658
112	-2	4	662
113	-92	94	756
114	-2	4	760
115	-2	4	764
116	-4	6	770
117	-8	10	780
118	-2	4	784
119	-4	6	790
120	-2	4	794
121	-2	4	798
122	-2	4	802
123	-2	4	806
124	-3	5	811
125	-2	4	815
126	-2	4	819
127	-2	4	823
128	-4	6	829
129	-2	4	833
130	-2	4	837
131	-2	4	841
132	-2	4	845
133	-2	4	849
134	-2	4	853
135	-2	4	857
136	-2	4	861
137	-2	4	865
138	-2	4	869
139	-2	4	873
140	-2	4	877
141	-2	4	881
142	-2	4	885
143	-3	5	890
144	-2	4	894
145	-2	4	898
146	-2	4	902
147	-2	4	906
148	-2	4	910
149	-2	4	914
150	-2	4	918
151	-2	4	922
152	-2	4	926
153	-2	4	930
154	-2	4	934
155	-2	4	938
156	-2	4	942
157	-2	4	946
158	-2	4	950
159	-2	4	954
160	-2	4	958
161	-7	9	967
162	-2	4	971
163	-2	4	975
164	-2	4	979
165	-2	4	983
166	-2	4	987
167	-2	4	991
168	-2	4	995
169	-2	4	999
170	-2	4	1003
171	-2	4	1007
172	-2	4	1011
173	-5	7	1018
174	-2	4	1022
175	-3	5	1027
176	-2	4	1031
177	-2	4	1035
178	-2	4	1039
179	-2	4	1043
180	-2	4	1047
181	-2	4	1051
182	-2	4	1055
183	-2	4	1059
184	-2	4	1063
185	-2	4	1067
186	-2	4	1071
187	-2	4	1075
188	-22	24	1099
189	-2	4	1103
190	-2	4	1107
191	-2	4	1111
192	-2	4	1115
193	-2	4	1119
194	-2	4	1123
195	-2	4	1127
196	-4	6	1133
197	-2	4	1137
198	-4	6	1143
199	-2	4	1147
200	-2	4	1151
201	-2	4	1155
202	-2	4	1159
203	-2	4	1163
204	-2	4	1167
205	-2	4	1171
206	-2	4	1175
207	-4	6	1181
208	-2	4	1185
209	-2	4	1189
210	-2	4	1193
211	-2	4	1197
212	-2	4	1201
213	-2	4	1205
214	-2	4	1209
215	-2	4	1213
216	-2	4	1217
217	-2	4	1221
218	-2	4	1225
219	-2	4	1229
220	-2	4	1233
221	-2	4	1237
222	-2	4	1241
223	-2	4	1245
224	-3	5	1250
225	-2	4	1254
226	-2	4	1258
227	-2	4	1262
228	-2	4	1266
229	-4	6	1272
230	-2	4	1276
231	-2	4	1280
232	-2	4	1284
233	-2	4	1288
234	-2	4	1292
235	-2	4	1296
236	-2	4	1300
237	-2	4	1304
238	-2	4	1308
239	-2	4	1312
240	-2	4	1316
241	-2	4	1320
242	-2	4	1324
243	-2	4	1328
244	-2	4	1332
245	-2	4	1336
246	-2	4	1340
247	-2	4	1344
248	-2	4	1348
249	-2	4	1352
250	-2	4	1356
251	-2	4	1360
252	-2	4	1364
253	-2	4	1368
254	-2	4	1372
255	-2	4	1376
256	-2	4	1380
257	-2	4	1384
258	-2	4	1388
259	-2	4	1392
260	-2	4	1396
261	-2	4	1400
262	-6	8	1408
263	-2	4	1412
264	-2	4	1416
265	-4	6	1422
266	-2	4	1426
267	-2	4	1430
268	-2	4	1434
269	-3	5	1439
270	-2	4	1443
271	-2	4	1447
272	-2	4	1451
273	-2	4	1455
274	-2	4	1459
275	-2	4	1463
276	-2	4	1467
277	-2	4	1471
278	-2	4	1475
279	-2	4	1479
280	-2	4	1483
281	-2	4	1487
282	-2	4	1491
283	-2	4	1495
284	-2	4	1499
285	-2	4	1503
286	-2	4	1507
287	-2	4	1511
288	-2	4	1515
289	-2	4	1519
290	-2	4	1523
291	-2	4	1527
292	-2	4	1531
293	-6	8	1539
294	-2	4	1543
295	-2	4	1547
296	-2	4	1551
297	-2	4	1555
298	-2	4	1559
299	-2	4	1563
300	-2	4	1567
301	-2	4	1571
302	-2	4	1575
303	-2	4	1579
304	-2	4	1583
305	-2	4	1587
306	-2	4	1591
307	-2	4	1595
308	-2	4	1599
309	-2	4	1603
310	-2	4	1607
311	-2	4	1611
312	-2	4	1615
313	-2	4	1619
314	-2	4	1623
315	-2	4	1627
316	-2	4	1631
317	-2	4	1635
318	-2	4	1639
319	-2	4	1643
320	-2	4	1647
321	-2	4	1651
322	-2	4	1655
323	-2	4	1659
324	-2	4	1663
325	-2	4	1667
326	-2	4	1671
327	-2	4	1675
328	-2	4	1679
329	-2	4	1683
330	-2	4	1687
331	-2	4	1691
332	-2	4	1695
333	-2	4	1699
334	-2	4	1703
335	-2	4	1707
336	-2	4	1711
337	-2	4	1715
338	-2	4	1719
339	-4	6	1725
340	-2	4	1729
341	-2	4	1733
342	-2	4	1737
343	-2	4	1741
344	-2	4	1745
345	-2	4	1749
346	-2	4	1753
347	-2	4	1757
348	-2	4	1761
349	-3	5	1766
350	-4	6	1772
351	-2	4	1776
352	-2	4	1780
353	-2	4	1784
354	-2	4	1788
355	-2	4	1792
356	-2	4	1796
357	-2	4	1800
358	-2	4	1804
359	-2	4	1808
360	-2	4	1812
361	-2	4	1816
362	-2	4	1820
363	-2	4	1824
364	-2	4	1828
365	-6	8	1836
366	-2	4	1840
367	-4	6	1846
368	-2	4	1850
369	-2	4	1854
370	-2	4	1858
371	-2	4	1862
372	-2	4	1866
373	-2	4	1870
374	-3	5	1875
375	-2	4	1879
376	-2	4	1883
377	-2	4	1887
378	-2	4	1891
379	-2	4	1895
380	-2	4	1899
381	-2	4	1903
382	-2	4	1907
383	-2	4	1911
384	-2	4	1915
385	-2	4	1919
386	-2	4	1923
387	-2	4	1927
388	-2	4	1931
389	-2	4	1935
390	-2	4	1939
391	-2	4	1943
392	-2	4	1947
393	-2	4	1951
394	-2	4	1955
395	-2	4	1959
396	-2	4	1963
397	-2	4	1967
398	-2	4	1971
399	-2	4	1975
400	-2	4	1979
401	-2	4	1983
402	-2	4	1987
403	-2	4	1991
404	-2	4	1995
405	-2	4	1999
406	-2	4	2003
407	-2	4	2007
408	-2	4	2011
409	-4	6	2017
410	-2	4	2021
411	-2	4	2025
412	-2	4	2029
413	-2	4	2033
414	-2	4	2037
415	-2	4	2041
416	-2	4	2045
417	-2	4	2049
418	-2	4	2053
419	-2	4	2057
420	-2	4	2061
421	-2	4	2065
422	-2	4	2069
423	-2	4	2073
424	-2	4	2077
425	-2	4	2081
426	-2	4	2085
427	-2	4	2089
428	-2	4	2093
429	-2	4	2097
430	-6	8	2105
431	-2	4	2109
432	-2	4	2113
433	-2	4	2117
434	-2	4	2121
435	-2	4	2125
436	-2	4	2129
437	-2	4	2133
438	-2	4	2137
439	-2	4	2141
440	-2	4	2145
441	-2	4	2149
442	-2	4	2153
443	-2	4	2157
444	-2	4	2161
445	-2	4	2165
446	-4	6	2171
447	-2	4	2175
448	-2	4	2179
449	-2	4	2183
450	-2	4	2187
451	-2	4	2191
452	-2	4	2195
453	-2	4	2199
454	-2	4	2203
455	-2	4	2207
456	-2	4	2211
457	-2	4	2215
458	-2	4	2219
459	-2	4	2223
460	-2	4	2227
461	-2	4	2231
462	-2	4	2235
463	-2	4	2239
464	-2	4	2243
465	-2	4	2247
466	-2	4	2251
467	-2	4	2255
468	-2	4	2259
469	-2	4	2263
470	-2	4	2267
471	-2	4	2271
472	-2	4	2275
473	-2	4	2279
474	-2	4	2283
475	-2	4	2287
476	-2	4	2291
477	-2	4	2295
478	-2	4	2299
479	-2	4	2303
480	-2	4	2307
481	-2	4	2311
482	-2	4	2315
483	-2	4	2319
484	-2	4	2323
485	-2	4	2327
486	-6	8	2335
487	-2	4	2339
488	-2	4	2343
489	-4	6	2349
490	-2	4	2353
491	-2	4	2357
492	-8	10	2367
493	-2	4	2371
494	-2	4	2375
495	-2	4	2379
496	-2	4	2383
497	-2	4	2387
498	-2	4	2391
499	-2	4	2395
500	-4	6	2401
501	-2	4	2405
502	-2	4	2409
503	-2	4	2413
504	-2	4	2417
505	-2	4	2421
506	-2	4	2425
507	-2	4	2429
508	-2	4	2433
509	-4	6	2439
510	-2	4	2443
511	-2	4	2447
512	-2	4	2451
513	-4	6	2457
514	-2	4	2461
515	-2	4	2465
516	-2	4	2469
517	-2	4	2473
518	-2	4	2477
519	-4	6	2483
520	-2	4	2487
521	-2	4	2491
522	-2	4	2495
523	-2	4	2499
524	-2	4	2503
525	-2	4	2507
526	-2	4	2511
527	-4	6	2517
528	-2	4	2521
529	-2	4	2525
530	-2	4	2529
531	-2	4	2533
532	-2	4	2537
533	-2	4	2541
534	-2	4	2545
535	-2	4	2549
536	-2	4	2553
537	-2	4	2557
538	-2	4	2561
539	-2	4	2565
540	-2	4	2569
541	-2	4	2573
542	-4	6	2579
543	-2	4	2583
544	-2	4	2587
545	-2	4	2591
546	-4	6	2597
547	-2	4	2601
548	-2	4	2605
549	-2	4	2609
550	-2	4	2613
551	-2	4	2617
552	-2	4	2621
553	-2	4	2625
554	-2	4	2629
555	-2	4	2633
556	-4	6	2639
557	-2	4	2643
558	-2	4	2647
559	-2	4	2651
560	-2	4	2655
561	-2	4	2659
562	-2	4	2663
563	-2	4	2667
564	-2	4	2671
565	-2	4	2675
566	-2	4	2679
567	-2	4	2683
568	-2	4	2687
569	-2	4	2691
570	-2	4	2695
571	-2	4	2699
572	-2	4	2703
573	-2	4	2707
574	-2	4	2711
575	-2	4	2715
576	-2	4	2719
577	-2	4	2723
578	-2	4	2727
579	-2	4	2731
580	-2	4	2735
581	-2	4	2739
582	-2	4	2743
583	-2	4	2747
584	-2	4	2751
585	-2	4	2755
586	-2	4	2759
587	-2	4	2763
588	-2	4	2767
589	-2	4	2771
590	-2	4	2775
591	-6	8	2783
592	-2	4	2787
593	-2	4	2791
594	-2	4	2795
595	-2	4	2799
596	-2	4	2803
597	-2	4	2807
598	-2	4	2811
599	-2	4	2815
600	-2	4	2819
601	-2	4	2823
602	-2	4	2827
603	-3	5	2832
604	-2	4	2836
605	-2	4	2840
606	-2	4	2844
607	-2	4	2848
608	-2	4	2852
609	-2	4	2856
610	-2	4	2860
611	-2	4	2864
612	-2	4	2868
613	-2	4	2872
614	-2	4	2876
615	-2	4	2880
616	-2	4	2884
617	-2	4	2888
618	-2	4	2892
619	-2	4	2896
620	-2	4	2900
621	-4	6	2906
622	-2	4	2910
623	-2	4	2914
624	-2	4	2918
625	-2	4	2922
626	-2	4	2926
627	-2	4	2930
628	-2	4	2934
629	-2	4	2938
630	-2	4	2942
631	-2	4	2946
632	-2	4	2950
633	-2	4	2954
634	-2	4	2958
635	-2	4	2962
636	-2	4	2966
637	-2	4	2970
638	-2	4	2974
639	-2	4	2978
640	-2	4	2982
641	-2	4	2986
642	-2	4	2990
643	-2	4	2994
644	-2	4	2998
645	-2	4	3002
646	-2	4	3006
647	-2	4	3010
648	-2	4	3014
649	-2	4	3018
650	-2	4	3022
651	-2	4	3026
652	-2	4	3030
653	-2	4	3034
654	-2	4	3038
655	-2	4	3042
656	-2	4	3046
657	-2	4	3050
658	-2	4	3054
659	-2	4	3058
660	-2	4	3062
661	-2	4	3066
662	-2	4	3070
663	-2	4	3074
664	-2	4	3078
665	-2	4	3082
666	-2	4	3086
667	-2	4	3090
668	-2	4	3094
669	-2	4	3098
670	-2	4	3102
671	-2	4	3106
672	-4	6	3112
673	-8	10	3122
674	-2	4	3126
675	-2	4	3130
676	-2	4	3134
677	-2	4	3138
678	-2	4	3142
679	-4	6	3148
680	-2	4	3152
681	-2	4	3156
