Episode	Accumulated Reward	Length	Steps
265	-136.0	136	38851
266	-140.0	140	38991
267	-143.0	143	39134
268	-143.0	143	39277
269	-141.0	141	39418
270	-131.0	131	39549
271	-109.0	109	39658
272	-136.0	136	39794
273	-152.0	152	39946
274	-165.0	165	40111
275	-140.0	140	40251
276	-171.0	171	40422
277	-116.0	116	40538
278	-138.0	138	40676
279	-140.0	140	40816
280	-149.0	149	40965
281	-147.0	147	41112
282	-138.0	138	41250
283	-136.0	136	41386
284	-129.0	129	41515
285	-135.0	135	41650
286	-135.0	135	41785
287	-151.0	151	41936
288	-90.0	90	42026
289	-140.0	140	42166
290	-139.0	139	42305
291	-106.0	106	42411
292	-108.0	108	42519
293	-93.0	93	42612
294	-107.0	107	42719
295	-92.0	92	42811
296	-136.0	136	42947
297	-150.0	150	43097
298	-169.0	169	43266
299	-130.0	130	43396
