Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
65	-160.0	160	11496	65	-160.0	160	11496	65	-160.0	160	11496	65	-160.0	160	11496
66	-164.0	164	11660	66	-164.0	164	11660	66	-164.0	164	11660	66	-164.0	164	11660
67	-144.0	144	11804	67	-144.0	144	11804	67	-144.0	144	11804	67	-144.0	144	11804
68	-137.0	137	11941	68	-137.0	137	11941	68	-137.0	137	11941	68	-137.0	137	11941
69	-142.0	142	12083	69	-142.0	142	12083	69	-142.0	142	12083	69	-142.0	142	12083
70	-117.0	117	12200	70	-117.0	117	12200	70	-117.0	117	12200	70	-117.0	117	12200
71	-142.0	142	12342	71	-142.0	142	12342	71	-142.0	142	12342	71	-142.0	142	12342
72	-139.0	139	12481	72	-139.0	139	12481	72	-139.0	139	12481	72	-139.0	139	12481
73	-143.0	143	12624	73	-143.0	143	12624	73	-143.0	143	12624	73	-143.0	143	12624
74	-155.0	155	12779	74	-155.0	155	12779	74	-155.0	155	12779	74	-155.0	155	12779
75	-152.0	152	12931	75	-152.0	152	12931	75	-152.0	152	12931	75	-152.0	152	12931
76	-152.0	152	13083	76	-152.0	152	13083	76	-152.0	152	13083	76	-152.0	152	13083
77	-157.0	157	13240	77	-157.0	157	13240	77	-157.0	157	13240	77	-157.0	157	13240
78	-139.0	139	13379	78	-139.0	139	13379	78	-139.0	139	13379	78	-139.0	139	13379
79	-141.0	141	13520	79	-141.0	141	13520	79	-141.0	141	13520	79	-141.0	141	13520
80	-139.0	139	13659	80	-139.0	139	13659	80	-139.0	139	13659	80	-139.0	139	13659
81	-136.0	136	13795	81	-136.0	136	13795	81	-136.0	136	13795	81	-136.0	136	13795
82	-151.0	151	13946	82	-151.0	151	13946	82	-151.0	151	13946	82	-151.0	151	13946
83	-150.0	150	14096	83	-150.0	150	14096	83	-150.0	150	14096	83	-150.0	150	14096
84	-135.0	135	14231	84	-135.0	135	14231	84	-135.0	135	14231	84	-135.0	135	14231
85	-151.0	151	14382	85	-151.0	151	14382	85	-151.0	151	14382	85	-151.0	151	14382
86	-112.0	112	14494	86	-112.0	112	14494	86	-112.0	112	14494	86	-112.0	112	14494
87	-147.0	147	14641	87	-147.0	147	14641	87	-147.0	147	14641	87	-147.0	147	14641
88	-108.0	108	14749	88	-108.0	108	14749	88	-108.0	108	14749	88	-108.0	108	14749
89	-146.0	146	14895	89	-146.0	146	14895	89	-146.0	146	14895	89	-146.0	146	14895
90	-142.0	142	15037	90	-142.0	142	15037	90	-142.0	142	15037	90	-142.0	142	15037
91	-146.0	146	15183	91	-146.0	146	15183	91	-146.0	146	15183	91	-146.0	146	15183
92	-135.0	135	15318	92	-135.0	135	15318	92	-135.0	135	15318	92	-135.0	135	15318
93	-179.0	179	15497	93	-179.0	179	15497	93	-179.0	179	15497	93	-179.0	179	15497
94	-144.0	144	15641	94	-144.0	144	15641	94	-144.0	144	15641	94	-144.0	144	15641
