Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
283	-136.0	136	41361	283	-136.0	136	41361	283	-136.0	136	41361	283	-136.0	136	41361
284	-132.0	132	41493	284	-132.0	132	41493	284	-132.0	132	41493	284	-132.0	132	41493
285	-138.0	138	41631	285	-138.0	138	41631	285	-138.0	138	41631	285	-138.0	138	41631
286	-176.0	176	41807	286	-176.0	176	41807	286	-176.0	176	41807	286	-176.0	176	41807
287	-182.0	182	41989	287	-182.0	182	41989	287	-182.0	182	41989	287	-182.0	182	41989
288	-137.0	137	42126	288	-137.0	137	42126	288	-137.0	137	42126	288	-137.0	137	42126
289	-134.0	134	42260	289	-134.0	134	42260	289	-134.0	134	42260	289	-134.0	134	42260
290	-134.0	134	42394	290	-134.0	134	42394	290	-134.0	134	42394	290	-134.0	134	42394
291	-128.0	128	42522	291	-128.0	128	42522	291	-128.0	128	42522	291	-128.0	128	42522
292	-136.0	136	42658	292	-136.0	136	42658	292	-136.0	136	42658	292	-136.0	136	42658
293	-179.0	179	42837	293	-179.0	179	42837	293	-179.0	179	42837	293	-179.0	179	42837
294	-131.0	131	42968	294	-131.0	131	42968	294	-131.0	131	42968	294	-131.0	131	42968
295	-151.0	151	43119	295	-151.0	151	43119	295	-151.0	151	43119	295	-151.0	151	43119
296	-136.0	136	43255	296	-136.0	136	43255	296	-136.0	136	43255	296	-136.0	136	43255
297	-131.0	131	43386	297	-131.0	131	43386	297	-131.0	131	43386	297	-131.0	131	43386
298	-137.0	137	43523	298	-137.0	137	43523	298	-137.0	137	43523	298	-137.0	137	43523
299	-141.0	141	43664	299	-141.0	141	43664	299	-141.0	141	43664	299	-141.0	141	43664
