Episode	Accumulated Reward	Length	Steps
0	-4110	1635	1635
1	-336	138	1773
2	-72	72	1845
3	-41	41	1886
4	-40	40	1926
5	-139	40	1966
6	-91	91	2057
7	-25	25	2082
8	-29	29	2111
9	-37	37	2148
10	-39	39	2187
11	-57	57	2244
12	-39	39	2283
13	-20	20	2303
14	-18	18	2321
15	-21	21	2342
16	-23	23	2365
17	-77	77	2442
18	-272	173	2615
19	-48	48	2663
20	-19	19	2682
21	-23	23	2705
22	-17	17	2722
23	-20	20	2742
24	-19	19	2761
25	-19	19	2780
26	-21	21	2801
27	-20	20	2821
28	-19	19	2840
29	-17	17	2857
30	-18	18	2875
31	-17	17	2892
32	-17	17	2909
33	-18	18	2927
34	-18	18	2945
35	-18	18	2963
36	-22	22	2985
37	-17	17	3002
38	-120	21	3023
39	-19	19	3042
40	-19	19	3061
41	-19	19	3080
42	-21	21	3101
43	-120	21	3122
44	-18	18	3140
45	-20	20	3160
46	-18	18	3178
47	-17	17	3195
48	-19	19	3214
49	-18	18	3232
50	-23	23	3255
51	-120	21	3276
52	-18	18	3294
53	-17	17	3311
54	-20	20	3331
55	-17	17	3348
56	-21	21	3369
57	-17	17	3386
58	-18	18	3404
59	-22	22	3426
60	-17	17	3443
61	-18	18	3461
62	-21	21	3482
63	-19	19	3501
64	-19	19	3520
65	-20	20	3540
66	-18	18	3558
67	-17	17	3575
68	-17	17	3592
69	-17	17	3609
70	-19	19	3628
71	-18	18	3646
72	-17	17	3663
73	-21	21	3684
74	-20	20	3704
75	-18	18	3722
76	-24	24	3746
77	-21	21	3767
78	-17	17	3784
79	-17	17	3801
80	-18	18	3819
81	-17	17	3836
82	-18	18	3854
83	-21	21	3875
84	-21	21	3896
85	-21	21	3917
86	-19	19	3936
87	-18	18	3954
88	-17	17	3971
89	-19	19	3990
90	-19	19	4009
91	-19	19	4028
92	-24	24	4052
93	-119	20	4072
94	-19	19	4091
95	-118	19	4110
96	-17	17	4127
97	-17	17	4144
98	-20	20	4164
99	-23	23	4187
100	-18	18	4205
101	-25	25	4230
102	-17	17	4247
103	-17	17	4264
104	-21	21	4285
105	-21	21	4306
106	-19	19	4325
107	-17	17	4342
108	-20	20	4362
109	-18	18	4380
110	-30	30	4410
111	-20	20	4430
112	-19	19	4449
113	-17	17	4466
114	-20	20	4486
115	-17	17	4503
116	-22	22	4525
117	-17	17	4542
118	-19	19	4561
119	-23	23	4584
120	-17	17	4601
121	-19	19	4620
122	-18	18	4638
123	-117	18	4656
124	-17	17	4673
125	-18	18	4691
126	-21	21	4712
127	-17	17	4729
128	-24	24	4753
129	-17	17	4770
130	-18	18	4788
131	-17	17	4805
132	-18	18	4823
133	-19	19	4842
134	-24	24	4866
135	-17	17	4883
136	-19	19	4902
137	-17	17	4919
138	-18	18	4937
139	-18	18	4955
140	-21	21	4976
141	-17	17	4993
142	-19	19	5012
143	-19	19	5031
144	-17	17	5048
145	-18	18	5066
146	-19	19	5085
147	-18	18	5103
148	-20	20	5123
149	-17	17	5140
150	-17	17	5157
151	-17	17	5174
152	-19	19	5193
153	-17	17	5210
154	-27	27	5237
155	-18	18	5255
156	-19	19	5274
157	-17	17	5291
158	-20	20	5311
159	-17	17	5328
160	-17	17	5345
161	-19	19	5364
162	-120	21	5385
163	-19	19	5404
164	-18	18	5422
165	-19	19	5441
166	-19	19	5460
167	-21	21	5481
168	-21	21	5502
169	-20	20	5522
170	-23	23	5545
171	-23	23	5568
172	-20	20	5588
173	-18	18	5606
174	-17	17	5623
175	-18	18	5641
176	-18	18	5659
177	-17	17	5676
178	-17	17	5693
179	-21	21	5714
180	-17	17	5731
181	-18	18	5749
182	-22	22	5771
183	-21	21	5792
184	-17	17	5809
185	-19	19	5828
186	-17	17	5845
187	-17	17	5862
188	-19	19	5881
189	-17	17	5898
190	-19	19	5917
191	-21	21	5938
192	-19	19	5957
193	-20	20	5977
194	-19	19	5996
195	-21	21	6017
196	-18	18	6035
197	-17	17	6052
198	-23	23	6075
199	-19	19	6094
200	-21	21	6115
201	-18	18	6133
202	-17	17	6150
203	-18	18	6168
204	-17	17	6185
205	-22	22	6207
206	-17	17	6224
207	-21	21	6245
208	-21	21	6266
209	-18	18	6284
210	-19	19	6303
211	-20	20	6323
212	-20	20	6343
213	-21	21	6364
214	-119	20	6384
215	-19	19	6403
216	-17	17	6420
217	-18	18	6438
218	-17	17	6455
219	-19	19	6474
220	-19	19	6493
221	-21	21	6514
222	-19	19	6533
223	-20	20	6553
224	-18	18	6571
225	-17	17	6588
226	-19	19	6607
227	-27	27	6634
228	-26	26	6660
229	-17	17	6677
230	-19	19	6696
231	-17	17	6713
232	-17	17	6730
233	-17	17	6747
234	-18	18	6765
235	-21	21	6786
236	-21	21	6807
237	-17	17	6824
238	-21	21	6845
239	-18	18	6863
240	-19	19	6882
241	-17	17	6899
242	-17	17	6916
243	-23	23	6939
244	-17	17	6956
245	-19	19	6975
246	-17	17	6992
247	-20	20	7012
248	-17	17	7029
249	-17	17	7046
250	-18	18	7064
251	-22	22	7086
252	-17	17	7103
253	-17	17	7120
254	-17	17	7137
255	-19	19	7156
256	-18	18	7174
257	-17	17	7191
258	-17	17	7208
259	-21	21	7229
260	-21	21	7250
261	-27	27	7277
262	-19	19	7296
