Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1425	534	534	0	-1425	534	534
1	-1136	542	1076	1	-1136	542	1076
2	-373	373	1449	2	-373	373	1449
3	-289	190	1639	3	-289	190	1639
4	-459	360	1999	4	-459	360	1999
5	-334	235	2234	5	-334	235	2234
6	-192	192	2426	6	-192	192	2426
7	-506	308	2734	7	-506	308	2734
8	-94	94	2828	8	-94	94	2828
9	-377	179	3007	9	-377	179	3007
10	-273	174	3181	10	-273	174	3181
11	-209	209	3390	11	-209	209	3390
12	-227	128	3518	12	-227	128	3518
13	-346	247	3765	13	-346	247	3765
14	-230	131	3896	14	-230	131	3896
15	-562	265	4161	15	-562	265	4161
16	-163	163	4324	16	-163	163	4324
17	-81	81	4405	17	-81	81	4405
18	-306	207	4612	18	-306	207	4612
19	-281	182	4794	19	-281	182	4794
20	-477	180	4974	20	-477	180	4974
21	-445	247	5221	21	-445	247	5221
22	-543	246	5467	22	-543	246	5467
23	-148	148	5615	23	-148	148	5615
24	-315	117	5732	24	-315	117	5732
25	-71	71	5803	25	-71	71	5803
26	-214	115	5918	26	-214	115	5918
27	-76	76	5994	27	-76	76	5994
28	-503	206	6200	28	-503	206	6200
29	-47	47	6247	29	-47	47	6247
30	-138	138	6385	30	-138	138	6385
31	-498	300	6685	31	-498	300	6685
32	-425	128	6813	32	-425	128	6813
33	-89	89	6902	33	-89	89	6902
34	-387	189	7091	34	-387	189	7091
35	-39	39	7130	35	-39	39	7130
36	-184	85	7215	36	-184	85	7215
37	-210	111	7326	37	-210	111	7326
38	-106	106	7432	38	-106	106	7432
39	-56	56	7488	39	-56	56	7488
40	-83	83	7571	40	-83	83	7571
41	-116	116	7687	41	-116	116	7687
42	-98	98	7785	42	-98	98	7785
43	-297	99	7884	43	-297	99	7884
44	-173	74	7958	44	-173	74	7958
45	-367	169	8127	45	-367	169	8127
46	-42	42	8169	46	-42	42	8169
47	-95	95	8264	47	-95	95	8264
48	-61	61	8325	48	-61	61	8325
49	-334	136	8461	49	-334	136	8461
50	-81	81	8542	50	-81	81	8542
51	-59	59	8601	51	-59	59	8601
52	-61	61	8662	52	-61	61	8662
53	-97	97	8759	53	-97	97	8759
54	-70	70	8829	54	-70	70	8829
55	-39	39	8868	55	-39	39	8868
56	-91	91	8959	56	-91	91	8959
57	-45	45	9004	57	-45	45	9004
58	-104	104	9108	58	-104	104	9108
59	-149	50	9158	59	-149	50	9158
60	-71	71	9229	60	-71	71	9229
61	-104	104	9333	61	-104	104	9333
62	-226	127	9460	62	-226	127	9460
63	-360	162	9622	63	-360	162	9622
64	-53	53	9675	64	-53	53	9675
65	-40	40	9715	65	-40	40	9715
66	-90	90	9805	66	-90	90	9805
67	-58	58	9863	67	-58	58	9863
68	-184	85	9948	68	-184	85	9948
69	-48	48	9996	69	-48	48	9996
70	-38	38	10034	70	-38	38	10034
71	-183	84	10118	71	-183	84	10118
72	-198	99	10217	72	-198	99	10217
73	-302	104	10321	73	-302	104	10321
74	-39	39	10360	74	-39	39	10360
75	-165	66	10426	75	-165	66	10426
76	-73	73	10499	76	-73	73	10499
77	-48	48	10547	77	-48	48	10547
78	-76	76	10623	78	-76	76	10623
79	-63	63	10686	79	-63	63	10686
80	-64	64	10750	80	-64	64	10750
81	-37	37	10787	81	-37	37	10787
82	-71	71	10858	82	-71	71	10858
83	-40	40	10898	83	-40	40	10898
84	-48	48	10946	84	-48	48	10946
85	-51	51	10997	85	-51	51	10997
86	-192	93	11090	86	-192	93	11090
87	-35	35	11125	87	-35	35	11125
88	-73	73	11198	88	-73	73	11198
89	-185	86	11284	89	-185	86	11284
90	-23	23	11307	90	-23	23	11307
91	-204	105	11412	91	-204	105	11412
92	-29	29	11441	92	-29	29	11441
93	-153	54	11495	93	-153	54	11495
94	-43	43	11538	94	-43	43	11538
95	-75	75	11613	95	-75	75	11613
96	-53	53	11666	96	-53	53	11666
97	-23	23	11689	97	-23	23	11689
98	-58	58	11747	98	-58	58	11747
99	-150	51	11798	99	-150	51	11798
100	-213	114	11912	100	-213	114	11912
101	-39	39	11951	101	-39	39	11951
102	-27	27	11978	102	-27	27	11978
103	-31	31	12009	103	-31	31	12009
104	-56	56	12065	104	-56	56	12065
105	-73	73	12138	105	-73	73	12138
106	-39	39	12177	106	-39	39	12177
107	-40	40	12217	107	-40	40	12217
108	-27	27	12244	108	-27	27	12244
109	-45	45	12289	109	-45	45	12289
110	-37	37	12326	110	-37	37	12326
111	-308	110	12436	111	-308	110	12436
112	-27	27	12463	112	-27	27	12463
113	-37	37	12500	113	-37	37	12500
114	-67	67	12567	114	-67	67	12567
115	-37	37	12604	115	-37	37	12604
116	-43	43	12647	116	-43	43	12647
117	-56	56	12703	117	-56	56	12703
118	-34	34	12737	118	-34	34	12737
119	-53	53	12790	119	-53	53	12790
120	-60	60	12850	120	-60	60	12850
121	-43	43	12893	121	-43	43	12893
122	-157	58	12951	122	-157	58	12951
123	-54	54	13005	123	-54	54	13005
124	-167	68	13073	124	-167	68	13073
125	-36	36	13109	125	-36	36	13109
126	-60	60	13169	126	-60	60	13169
127	-63	63	13232	127	-63	63	13232
128	-277	79	13311	128	-277	79	13311
129	-205	106	13417	129	-205	106	13417
130	-64	64	13481	130	-64	64	13481
131	-42	42	13523	131	-42	42	13523
132	-35	35	13558	132	-35	35	13558
133	-170	71	13629	133	-170	71	13629
134	-194	95	13724	134	-194	95	13724
135	-44	44	13768	135	-44	44	13768
136	-85	85	13853	136	-85	85	13853
137	-36	36	13889	137	-36	36	13889
138	-38	38	13927	138	-38	38	13927
139	-151	52	13979	139	-151	52	13979
140	-69	69	14048	140	-69	69	14048
141	-48	48	14096	141	-48	48	14096
142	-40	40	14136	142	-40	40	14136
143	-65	65	14201	143	-65	65	14201
144	-158	59	14260	144	-158	59	14260
145	-42	42	14302	145	-42	42	14302
146	-71	71	14373	146	-71	71	14373
