Episode	Accumulated Reward	Length	Steps
0	-2385	1098	1098
1	-2085	1095	2193
2	-799	403	2596
3	-442	244	2840
4	-431	233	3073
5	-221	122	3195
6	-34	34	3229
7	-23	23	3252
8	-21	21	3273
9	-20	20	3293
10	-26	26	3319
11	-30	30	3349
12	-34	34	3383
13	-27	27	3410
14	-25	25	3435
15	-148	49	3484
16	-36	36	3520
17	-19	19	3539
18	-19	19	3558
19	-26	26	3584
20	-24	24	3608
21	-28	28	3636
22	-24	24	3660
23	-20	20	3680
24	-23	23	3703
25	-26	26	3729
26	-20	20	3749
27	-21	21	3770
28	-20	20	3790
29	-19	19	3809
30	-27	27	3836
31	-23	23	3859
32	-20	20	3879
33	-18	18	3897
34	-19	19	3916
35	-22	22	3938
36	-24	24	3962
37	-19	19	3981
38	-19	19	4000
39	-21	21	4021
40	-22	22	4043
41	-21	21	4064
42	-24	24	4088
43	-21	21	4109
44	-20	20	4129
45	-28	28	4157
46	-19	19	4176
47	-20	20	4196
48	-20	20	4216
49	-22	22	4238
50	-19	19	4257
51	-22	22	4279
52	-20	20	4299
53	-24	24	4323
54	-31	31	4354
55	-23	23	4377
56	-24	24	4401
57	-20	20	4421
58	-45	45	4466
59	-25	25	4491
60	-43	43	4534
61	-22	22	4556
62	-22	22	4578
63	-26	26	4604
64	-19	19	4623
65	-21	21	4644
66	-124	25	4669
67	-19	19	4688
68	-19	19	4707
69	-20	20	4727
70	-23	23	4750
71	-23	23	4773
72	-19	19	4792
73	-19	19	4811
74	-22	22	4833
75	-19	19	4852
76	-25	25	4877
77	-19	19	4896
78	-23	23	4919
79	-21	21	4940
80	-21	21	4961
81	-20	20	4981
82	-21	21	5002
83	-22	22	5024
84	-21	21	5045
85	-24	24	5069
86	-19	19	5088
87	-21	21	5109
88	-19	19	5128
89	-21	21	5149
90	-21	21	5170
91	-22	22	5192
92	-19	19	5211
93	-21	21	5232
94	-21	21	5253
95	-21	21	5274
96	-21	21	5295
97	-23	23	5318
98	-24	24	5342
99	-23	23	5365
100	-19	19	5384
101	-22	22	5406
102	-21	21	5427
103	-19	19	5446
104	-19	19	5465
105	-19	19	5484
106	-22	22	5506
107	-22	22	5528
108	-20	20	5548
109	-21	21	5569
110	-24	24	5593
111	-20	20	5613
112	-20	20	5633
113	-23	23	5656
114	-25	25	5681
115	-20	20	5701
116	-21	21	5722
117	-21	21	5743
118	-25	25	5768
119	-20	20	5788
120	-19	19	5807
121	-23	23	5830
122	-21	21	5851
123	-21	21	5872
124	-19	19	5891
125	-17	17	5908
126	-21	21	5929
127	-22	22	5951
128	-19	19	5970
129	-23	23	5993
130	-20	20	6013
131	-23	23	6036
132	-21	21	6057
133	-22	22	6079
134	-23	23	6102
135	-21	21	6123
136	-23	23	6146
137	-19	19	6165
138	-23	23	6188
139	-23	23	6211
140	-21	21	6232
141	-122	23	6255
142	-19	19	6274
143	-25	25	6299
144	-19	19	6318
145	-19	19	6337
146	-19	19	6356
147	-19	19	6375
148	-22	22	6397
149	-19	19	6416
150	-22	22	6438
151	-21	21	6459
152	-19	19	6478
153	-22	22	6500
154	-20	20	6520
155	-21	21	6541
156	-19	19	6560
157	-21	21	6581
158	-21	21	6602
159	-21	21	6623
160	-20	20	6643
161	-27	27	6670
162	-19	19	6689
163	-20	20	6709
164	-19	19	6728
165	-20	20	6748
166	-26	26	6774
167	-25	25	6799
168	-19	19	6818
169	-21	21	6839
170	-19	19	6858
171	-20	20	6878
172	-19	19	6897
173	-19	19	6916
174	-20	20	6936
175	-19	19	6955
176	-20	20	6975
177	-21	21	6996
178	-19	19	7015
179	-26	26	7041
180	-19	19	7060
181	-22	22	7082
182	-25	25	7107
183	-27	27	7134
184	-20	20	7154
185	-25	25	7179
186	-23	23	7202
187	-20	20	7222
188	-25	25	7247
189	-19	19	7266
190	-17	17	7283
191	-20	20	7303
192	-23	23	7326
193	-25	25	7351
194	-25	25	7376
195	-19	19	7395
196	-24	24	7419
197	-19	19	7438
198	-21	21	7459
199	-24	24	7483
200	-23	23	7506
201	-24	24	7530
202	-122	23	7553
203	-23	23	7576
204	-22	22	7598
205	-22	22	7620
206	-24	24	7644
207	-19	19	7663
208	-19	19	7682
209	-20	20	7702
210	-23	23	7725
211	-21	21	7746
212	-23	23	7769
213	-19	19	7788
214	-23	23	7811
215	-23	23	7834
216	-21	21	7855
217	-20	20	7875
218	-22	22	7897
219	-23	23	7920
220	-20	20	7940
221	-20	20	7960
222	-25	25	7985
223	-19	19	8004
224	-22	22	8026
225	-20	20	8046
226	-23	23	8069
227	-23	23	8092
228	-23	23	8115
229	-21	21	8136
230	-24	24	8160
231	-20	20	8180
232	-21	21	8201
233	-21	21	8222
234	-261	63	8285
235	-17	17	8302
236	-20	20	8322
237	-22	22	8344
238	-21	21	8365
239	-18	18	8383
240	-18	18	8401
241	-19	19	8420
242	-17	17	8437
243	-19	19	8456
244	-19	19	8475
245	-19	19	8494
246	-17	17	8511
247	-19	19	8530
248	-17	17	8547
249	-19	19	8566
250	-118	19	8585
251	-20	20	8605
252	-18	18	8623
253	-19	19	8642
254	-19	19	8661
255	-17	17	8678
256	-17	17	8695
257	-18	18	8713
258	-19	19	8732
259	-22	22	8754
260	-19	19	8773
261	-22	22	8795
262	-19	19	8814
263	-17	17	8831
264	-18	18	8849
