Episode	Accumulated Reward	Length	Steps
0	-1759	769	769
1	-1569	579	1348
2	-2668	1480	2828
3	-305	206	3034
4	-205	106	3140
5	-81	81	3221
6	-46	46	3267
7	-27	27	3294
8	-34	34	3328
9	-187	88	3416
10	-33	33	3449
11	-33	33	3482
12	-55	55	3537
13	-25	25	3562
14	-132	33	3595
15	-21	21	3616
16	-2765	1478	5094
17	-185	86	5180
18	-490	292	5472
19	-98	98	5570
20	-55	55	5625
21	-76	76	5701
22	-144	45	5746
23	-17	17	5763
24	-19	19	5782
25	-23	23	5805
26	-27	27	5832
27	-145	46	5878
28	-22	22	5900
29	-21	21	5921
30	-30	30	5951
31	-17	17	5968
32	-23	23	5991
33	-19	19	6010
34	-17	17	6027
35	-21	21	6048
36	-117	18	6066
37	-18	18	6084
38	-22	22	6106
39	-17	17	6123
40	-17	17	6140
41	-19	19	6159
42	-137	38	6197
43	-35	35	6232
44	-34	34	6266
45	-32	32	6298
46	-21	21	6319
47	-17	17	6336
48	-21	21	6357
49	-21	21	6378
50	-21	21	6399
51	-26	26	6425
52	-32	32	6457
53	-23	23	6480
54	-22	22	6502
55	-24	24	6526
56	-21	21	6547
57	-22	22	6569
58	-25	25	6594
59	-21	21	6615
60	-123	24	6639
61	-34	34	6673
62	-141	42	6715
63	-17	17	6732
64	-18	18	6750
65	-17	17	6767
66	-19	19	6786
67	-17	17	6803
68	-17	17	6820
69	-31	31	6851
70	-17	17	6868
71	-17	17	6885
72	-17	17	6902
73	-21	21	6923
74	-19	19	6942
75	-21	21	6963
76	-19	19	6982
77	-17	17	6999
78	-17	17	7016
79	-22	22	7038
80	-17	17	7055
81	-22	22	7077
82	-17	17	7094
83	-21	21	7115
84	-20	20	7135
85	-23	23	7158
86	-119	20	7178
87	-17	17	7195
88	-18	18	7213
89	-30	30	7243
90	-19	19	7262
91	-18	18	7280
92	-21	21	7301
93	-19	19	7320
94	-17	17	7337
95	-21	21	7358
96	-18	18	7376
97	-17	17	7393
98	-22	22	7415
99	-19	19	7434
100	-19	19	7453
101	-19	19	7472
102	-23	23	7495
103	-21	21	7516
104	-17	17	7533
105	-22	22	7555
106	-20	20	7575
107	-17	17	7592
108	-23	23	7615
109	-17	17	7632
110	-164	65	7697
111	-38	38	7735
112	-196	97	7832
113	-47	47	7879
114	-121	22	7901
115	-23	23	7924
116	-17	17	7941
117	-18	18	7959
118	-17	17	7976
119	-19	19	7995
120	-17	17	8012
121	-17	17	8029
122	-21	21	8050
123	-19	19	8069
124	-17	17	8086
125	-17	17	8103
126	-25	25	8128
127	-21	21	8149
128	-18	18	8167
129	-17	17	8184
130	-18	18	8202
131	-23	23	8225
132	-23	23	8248
133	-17	17	8265
134	-21	21	8286
135	-20	20	8306
136	-17	17	8323
137	-37	37	8360
