Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
42	-13	13	718	42	-13	13	718	42	-13	13	718	42	-13	13	718	42	-13	13	718	42	-13	13	718	42	-13	13	718	42	-13	13	718
43	-13	13	731	43	-13	13	731	43	-13	13	731	43	-13	13	731	43	-13	13	731	43	-13	13	731	43	-13	13	731	43	-13	13	731
44	-16	16	747	44	-16	16	747	44	-16	16	747	44	-16	16	747	44	-16	16	747	44	-16	16	747	44	-16	16	747	44	-16	16	747
45	-13	13	760	45	-13	13	760	45	-13	13	760	45	-13	13	760	45	-13	13	760	45	-13	13	760	45	-13	13	760	45	-13	13	760
46	-15	15	775	46	-15	15	775	46	-15	15	775	46	-15	15	775	46	-15	15	775	46	-15	15	775	46	-15	15	775	46	-15	15	775
47	-13	13	788	47	-13	13	788	47	-13	13	788	47	-13	13	788	47	-13	13	788	47	-13	13	788	47	-13	13	788	47	-13	13	788
48	-13	13	801	48	-13	13	801	48	-13	13	801	48	-13	13	801	48	-13	13	801	48	-13	13	801	48	-13	13	801	48	-13	13	801
49	-13	13	814	49	-13	13	814	49	-13	13	814	49	-13	13	814	49	-13	13	814	49	-13	13	814	49	-13	13	814	49	-13	13	814
50	-15	15	829	50	-15	15	829	50	-15	15	829	50	-15	15	829	50	-15	15	829	50	-15	15	829	50	-15	15	829	50	-15	15	829
51	-20	20	849	51	-20	20	849	51	-20	20	849	51	-20	20	849	51	-20	20	849	51	-20	20	849	51	-20	20	849	51	-20	20	849
52	-17	17	866	52	-17	17	866	52	-17	17	866	52	-17	17	866	52	-17	17	866	52	-17	17	866	52	-17	17	866	52	-17	17	866
53	-15	15	881	53	-15	15	881	53	-15	15	881	53	-15	15	881	53	-15	15	881	53	-15	15	881	53	-15	15	881	53	-15	15	881
54	-14	14	895	54	-14	14	895	54	-14	14	895	54	-14	14	895	54	-14	14	895	54	-14	14	895	54	-14	14	895	54	-14	14	895
55	-13	13	908	55	-13	13	908	55	-13	13	908	55	-13	13	908	55	-13	13	908	55	-13	13	908	55	-13	13	908	55	-13	13	908
56	-13	13	921	56	-13	13	921	56	-13	13	921	56	-13	13	921	56	-13	13	921	56	-13	13	921	56	-13	13	921	56	-13	13	921
57	-15	15	936	57	-15	15	936	57	-15	15	936	57	-15	15	936	57	-15	15	936	57	-15	15	936	57	-15	15	936	57	-15	15	936
58	-15	15	951	58	-15	15	951	58	-15	15	951	58	-15	15	951	58	-15	15	951	58	-15	15	951	58	-15	15	951	58	-15	15	951
59	-15	15	966	59	-15	15	966	59	-15	15	966	59	-15	15	966	59	-15	15	966	59	-15	15	966	59	-15	15	966	59	-15	15	966
60	-119	20	986	60	-119	20	986	60	-119	20	986	60	-119	20	986	60	-119	20	986	60	-119	20	986	60	-119	20	986	60	-119	20	986
61	-13	13	999	61	-13	13	999	61	-13	13	999	61	-13	13	999	61	-13	13	999	61	-13	13	999	61	-13	13	999	61	-13	13	999
62	-13	13	1012	62	-13	13	1012	62	-13	13	1012	62	-13	13	1012	62	-13	13	1012	62	-13	13	1012	62	-13	13	1012	62	-13	13	1012
63	-13	13	1025	63	-13	13	1025	63	-13	13	1025	63	-13	13	1025	63	-13	13	1025	63	-13	13	1025	63	-13	13	1025	63	-13	13	1025
64	-13	13	1038	64	-13	13	1038	64	-13	13	1038	64	-13	13	1038	64	-13	13	1038	64	-13	13	1038	64	-13	13	1038	64	-13	13	1038
65	-15	15	1053	65	-15	15	1053	65	-15	15	1053	65	-15	15	1053	65	-15	15	1053	65	-15	15	1053	65	-15	15	1053	65	-15	15	1053
66	-14	14	1067	66	-14	14	1067	66	-14	14	1067	66	-14	14	1067	66	-14	14	1067	66	-14	14	1067	66	-14	14	1067	66	-14	14	1067
67	-14	14	1081	67	-14	14	1081	67	-14	14	1081	67	-14	14	1081	67	-14	14	1081	67	-14	14	1081	67	-14	14	1081	67	-14	14	1081
68	-15	15	1096	68	-15	15	1096	68	-15	15	1096	68	-15	15	1096	68	-15	15	1096	68	-15	15	1096	68	-15	15	1096	68	-15	15	1096
69	-115	16	1112	69	-115	16	1112	69	-115	16	1112	69	-115	16	1112	69	-115	16	1112	69	-115	16	1112	69	-115	16	1112	69	-115	16	1112
70	-13	13	1125	70	-13	13	1125	70	-13	13	1125	70	-13	13	1125	70	-13	13	1125	70	-13	13	1125	70	-13	13	1125	70	-13	13	1125
71	-13	13	1138	71	-13	13	1138	71	-13	13	1138	71	-13	13	1138	71	-13	13	1138	71	-13	13	1138	71	-13	13	1138	71	-13	13	1138
72	-15	15	1153	72	-15	15	1153	72	-15	15	1153	72	-15	15	1153	72	-15	15	1153	72	-15	15	1153	72	-15	15	1153	72	-15	15	1153
73	-17	17	1170	73	-17	17	1170	73	-17	17	1170	73	-17	17	1170	73	-17	17	1170	73	-17	17	1170	73	-17	17	1170	73	-17	17	1170
74	-15	15	1185	74	-15	15	1185	74	-15	15	1185	74	-15	15	1185	74	-15	15	1185	74	-15	15	1185	74	-15	15	1185	74	-15	15	1185
75	-13	13	1198	75	-13	13	1198	75	-13	13	1198	75	-13	13	1198	75	-13	13	1198	75	-13	13	1198	75	-13	13	1198	75	-13	13	1198
76	-13	13	1211	76	-13	13	1211	76	-13	13	1211	76	-13	13	1211	76	-13	13	1211	76	-13	13	1211	76	-13	13	1211	76	-13	13	1211
77	-124	25	1236	77	-124	25	1236	77	-124	25	1236	77	-124	25	1236	77	-124	25	1236	77	-124	25	1236	77	-124	25	1236	77	-124	25	1236
78	-13	13	1249	78	-13	13	1249	78	-13	13	1249	78	-13	13	1249	78	-13	13	1249	78	-13	13	1249	78	-13	13	1249	78	-13	13	1249
79	-13	13	1262	79	-13	13	1262	79	-13	13	1262	79	-13	13	1262	79	-13	13	1262	79	-13	13	1262	79	-13	13	1262	79	-13	13	1262
80	-332	35	1297	80	-332	35	1297	80	-332	35	1297	80	-332	35	1297	80	-332	35	1297	80	-332	35	1297	80	-332	35	1297	80	-332	35	1297
81	-15	15	1312	81	-15	15	1312	81	-15	15	1312	81	-15	15	1312	81	-15	15	1312	81	-15	15	1312	81	-15	15	1312	81	-15	15	1312
82	-15	15	1327	82	-15	15	1327	82	-15	15	1327	82	-15	15	1327	82	-15	15	1327	82	-15	15	1327	82	-15	15	1327	82	-15	15	1327
83	-14	14	1341	83	-14	14	1341	83	-14	14	1341	83	-14	14	1341	83	-14	14	1341	83	-14	14	1341	83	-14	14	1341	83	-14	14	1341
84	-15	15	1356	84	-15	15	1356	84	-15	15	1356	84	-15	15	1356	84	-15	15	1356	84	-15	15	1356	84	-15	15	1356	84	-15	15	1356
85	-15	15	1371	85	-15	15	1371	85	-15	15	1371	85	-15	15	1371	85	-15	15	1371	85	-15	15	1371	85	-15	15	1371	85	-15	15	1371
86	-119	20	1391	86	-119	20	1391	86	-119	20	1391	86	-119	20	1391	86	-119	20	1391	86	-119	20	1391	86	-119	20	1391	86	-119	20	1391
87	-13	13	1404	87	-13	13	1404	87	-13	13	1404	87	-13	13	1404	87	-13	13	1404	87	-13	13	1404	87	-13	13	1404	87	-13	13	1404
88	-13	13	1417	88	-13	13	1417	88	-13	13	1417	88	-13	13	1417	88	-13	13	1417	88	-13	13	1417	88	-13	13	1417	88	-13	13	1417
89	-13	13	1430	89	-13	13	1430	89	-13	13	1430	89	-13	13	1430	89	-13	13	1430	89	-13	13	1430	89	-13	13	1430	89	-13	13	1430
90	-15	15	1445	90	-15	15	1445	90	-15	15	1445	90	-15	15	1445	90	-15	15	1445	90	-15	15	1445	90	-15	15	1445	90	-15	15	1445
91	-18	18	1463	91	-18	18	1463	91	-18	18	1463	91	-18	18	1463	91	-18	18	1463	91	-18	18	1463	91	-18	18	1463	91	-18	18	1463
92	-119	20	1483	92	-119	20	1483	92	-119	20	1483	92	-119	20	1483	92	-119	20	1483	92	-119	20	1483	92	-119	20	1483	92	-119	20	1483
93	-13	13	1496	93	-13	13	1496	93	-13	13	1496	93	-13	13	1496	93	-13	13	1496	93	-13	13	1496	93	-13	13	1496	93	-13	13	1496
94	-17	17	1513	94	-17	17	1513	94	-17	17	1513	94	-17	17	1513	94	-17	17	1513	94	-17	17	1513	94	-17	17	1513	94	-17	17	1513
