Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
43	-94	94	5644	43	-94	94	5644	43	-94	94	5644	43	-94	94	5644	43	-94	94	5644	43	-94	94	5644	43	-94	94	5644
44	-37	37	5681	44	-37	37	5681	44	-37	37	5681	44	-37	37	5681	44	-37	37	5681	44	-37	37	5681	44	-37	37	5681
45	-49	49	5730	45	-49	49	5730	45	-49	49	5730	45	-49	49	5730	45	-49	49	5730	45	-49	49	5730	45	-49	49	5730
46	-47	47	5777	46	-47	47	5777	46	-47	47	5777	46	-47	47	5777	46	-47	47	5777	46	-47	47	5777	46	-47	47	5777
47	-209	110	5887	47	-209	110	5887	47	-209	110	5887	47	-209	110	5887	47	-209	110	5887	47	-209	110	5887	47	-209	110	5887
48	-26	26	5913	48	-26	26	5913	48	-26	26	5913	48	-26	26	5913	48	-26	26	5913	48	-26	26	5913	48	-26	26	5913
49	-43	43	5956	49	-43	43	5956	49	-43	43	5956	49	-43	43	5956	49	-43	43	5956	49	-43	43	5956	49	-43	43	5956
50	-239	140	6096	50	-239	140	6096	50	-239	140	6096	50	-239	140	6096	50	-239	140	6096	50	-239	140	6096	50	-239	140	6096
51	-25	25	6121	51	-25	25	6121	51	-25	25	6121	51	-25	25	6121	51	-25	25	6121	51	-25	25	6121	51	-25	25	6121
52	-58	58	6179	52	-58	58	6179	52	-58	58	6179	52	-58	58	6179	52	-58	58	6179	52	-58	58	6179	52	-58	58	6179
53	-74	74	6253	53	-74	74	6253	53	-74	74	6253	53	-74	74	6253	53	-74	74	6253	53	-74	74	6253	53	-74	74	6253
54	-51	51	6304	54	-51	51	6304	54	-51	51	6304	54	-51	51	6304	54	-51	51	6304	54	-51	51	6304	54	-51	51	6304
55	-26	26	6330	55	-26	26	6330	55	-26	26	6330	55	-26	26	6330	55	-26	26	6330	55	-26	26	6330	55	-26	26	6330
56	-180	81	6411	56	-180	81	6411	56	-180	81	6411	56	-180	81	6411	56	-180	81	6411	56	-180	81	6411	56	-180	81	6411
57	-53	53	6464	57	-53	53	6464	57	-53	53	6464	57	-53	53	6464	57	-53	53	6464	57	-53	53	6464	57	-53	53	6464
58	-47	47	6511	58	-47	47	6511	58	-47	47	6511	58	-47	47	6511	58	-47	47	6511	58	-47	47	6511	58	-47	47	6511
