Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
163	-13	13	2705	163	-13	13	2705
164	-115	16	2721	164	-115	16	2721
165	-13	13	2734	165	-13	13	2734
166	-16	16	2750	166	-16	16	2750
167	-15	15	2765	167	-15	15	2765
168	-122	23	2788	168	-122	23	2788
169	-13	13	2801	169	-13	13	2801
170	-14	14	2815	170	-14	14	2815
171	-15	15	2830	171	-15	15	2830
172	-13	13	2843	172	-13	13	2843
173	-13	13	2856	173	-13	13	2856
174	-17	17	2873	174	-17	17	2873
175	-13	13	2886	175	-13	13	2886
176	-15	15	2901	176	-15	15	2901
177	-120	21	2922	177	-120	21	2922
178	-15	15	2937	178	-15	15	2937
179	-14	14	2951	179	-14	14	2951
180	-15	15	2966	180	-15	15	2966
181	-16	16	2982	181	-16	16	2982
182	-18	18	3000	182	-18	18	3000
183	-17	17	3017	183	-17	17	3017
184	-15	15	3032	184	-15	15	3032
185	-125	26	3058	185	-125	26	3058
186	-221	23	3081	186	-221	23	3081
187	-125	26	3107	187	-125	26	3107
188	-123	24	3131	188	-123	24	3131
189	-15	15	3146	189	-15	15	3146
190	-13	13	3159	190	-13	13	3159
191	-13	13	3172	191	-13	13	3172
192	-15	15	3187	192	-15	15	3187
193	-19	19	3206	193	-19	19	3206
194	-15	15	3221	194	-15	15	3221
195	-122	23	3244	195	-122	23	3244
196	-225	27	3271	196	-225	27	3271
197	-15	15	3286	197	-15	15	3286
198	-13	13	3299	198	-13	13	3299
199	-13	13	3312	199	-13	13	3312
